a	eɪ
jayugwongyuyak	dʒ eɪ ə ɡ w ʌ n dʒ j uː j a k
jayugyeongjewoni	dʒ eɪ ə dʒ j əʊ ŋ dʒ uː əʊ n i
jayuhangukdangeuro	dʒ eɪ j uː h a ŋ ɡ ə k d ɐ n dʒ j uː ɹ əʊ
jayulseongeul	dʒ eɪ ə l s ɒ n dʒ j uː l
jayuropge	dʒ eɪ j uː ɹ ɒ p dʒ
je	dʒ iː
jeandeureul	dʒ iː n d j uː ɹ uː l
jeaneul	dʒ iː n j uː l
jeanhaetda	dʒ iː n h iː t d ə
jeanhaetdago	dʒ iː n h iː t d eɪ ɡ əʊ
jeanhaetgo	dʒ iː n h iː t ɡ əʊ
jeanhan	dʒ iː n h ə n
jeani	dʒ iː n i
jeapbangsongirago	dʒ iː p b ɐ ŋ s ɒ ŋ ɡ ə ɹ eɪ ɡ əʊ
jeaphal	dʒ iː f əl
jebeop	dʒ ɛ b ɪ ə p
jebogeul	dʒ ɛ b əʊ dʒ ʌ l
jechul	dʒ ɛ tʃ ʌ l
jechulhaeseo	dʒ ɛ tʃ ə l h iː s eɪ əʊ
jechulhaetda	dʒ ɛ tʃ ə l h iː t d ə
jechulhaetgo	dʒ ɛ tʃ ə l h iː t ɡ əʊ
jechulhaji	dʒ ɛ tʃ ə l h a dʒ i
jechulhan	dʒ ɛ tʃ ʌ l h ə n
jechyeonoko	dʒ ɛ tʃ j əʊ n əʊ k əʊ
jedaero	dʒ ɛ d eə ɹ əʊ
jedo	dʒ iː d əʊ
jedoda	dʒ ɛ d əʊ d ə
jedoe	dʒ iː d əʊ
jedoeseodo	dʒ ɛ d əʊ s ɪ əʊ d əʊ
jedoga	dʒ ɛ d əʊ ɡ ə
jedoneun	dʒ ɛ d əʊ n ʌ n
jedongeul	dʒ ɛ d ə n dʒ j uː l
jedoreul	dʒ ɛ d ɔː ɹ uː l
jedowa	dʒ ɛ d əʊ ə
jeeohagiga	dʒ iː əʊ h a dʒ ɪ ɡ ə
jeeoryeogeul	dʒ iː ɔː j əʊ dʒ j uː l
jega	dʒ ɛ ɡ ə
jege	dʒ iː dʒ
jegeneun	dʒ ɛ dʒ ə n j uː n
jegeohae	dʒ ɛ dʒ ɪ ɒ h iː
jegeohago	dʒ ɛ dʒ ɪ ə h eɪ ɡ əʊ
jegeohal	dʒ ɛ dʒ ɪ ɒ h əl
jegeohandago	dʒ ɛ dʒ ɪ ɒ h ɐ n d eɪ ɡ əʊ
jegeohaneun	dʒ ɛ dʒ ɪ ɒ h ɐ n j uː n
jegidoeeotseupnida	dʒ ɛ dʒ ɪ d əʊ ɪ ɒ t s j uː p n ɪ d ə
jegidoenda	dʒ ɛ dʒ ɪ d əʊ n d ə
jegidoengeopnida	dʒ ɛ dʒ ɪ d əʊ n dʒ ɪ ɒ p n ɪ d ə
jegidwaetda	dʒ ɛ dʒ ɪ d w iː t d ə
jegidwaetdeon	dʒ ɛ dʒ ɪ d w iː t d ɪ ə n
jegihaetda	dʒ ɛ dʒ ɪ h iː t d ə
jegihaetdeon	dʒ ɛ dʒ ɪ h iː t d ɪ ə n
jegihaetseupnida	dʒ ɛ dʒ ɪ h iː t s j uː p n ɪ d ə
jegihagiro	dʒ ɛ dʒ ɪ h ɐ dʒ iə ɹ əʊ
jegihago	dʒ ɛ dʒ ɪ h eɪ ɡ əʊ
jegihan	dʒ ɛ dʒ ɪ h a n
jegihanda	dʒ ɛ dʒ ɪ h a n d ə
jegihaneun	dʒ ɛ dʒ ɪ h a n j uː n
jegong	dʒ ɛ ɡ ɒ ŋ
jegongeul	dʒ ɛ ɡ ɒ n dʒ j uː l
jegonghadeon	dʒ ɛ ɡ ɒ ŋ h eɪ d ə n
jegonghaji	dʒ ɛ ɡ ɒ ŋ h a dʒ i
jegonghanda	dʒ ɛ ɡ ɒ ŋ h a n d ə
jegonghaneun	dʒ ɛ ɡ ɒ ŋ h a n j uː n
jegongsingyeongoegwa	dʒ ɛ ɡ ɒ ŋ s ɪ ŋ j əʊ ŋ ɡ əʊ ɡ w ə
jegop	dʒ ɛ ɡ ə p
jegopkiromiteo	dʒ ɛ ɡ ə p k ɪ ɹ ə m aɪ t ɪ əʊ
jegopmiteo	dʒ ɛ ɡ ə p m aɪ t ɪ əʊ
jegopmiteoe	dʒ ɛ ɡ ə p m aɪ t əʊ
jegopmiteoneun	dʒ ɛ ɡ ə p m aɪ t əʊ n ʌ n
jeguk	dʒ ɛ ɡ ʌ k
jegureun	dʒ ɛ ɡ j ʊə ɹ uː n
jehaneul	dʒ ɛ h ɐ n j uː l
jehanhaeya	dʒ ɛ h ɐ n h iː j ə
jehanhago	dʒ ɛ h ɐ n h eɪ ɡ əʊ
jehanhal	dʒ ɛ h a n h əl
jehanhan	dʒ ɛ h a n h ə n
jehanhaneun	dʒ ɛ h ɐ n h a n j uː n
jehyue	dʒ eɪ j uː
jeil	dʒ eɪ l
jeilmojik	dʒ eɪ l m ə dʒ ɪ k
jeiyu	dʒ eɪ j uː
jejae	dʒ ɛ j iː
jejaeui	dʒ ɛ j iː j uː i
jejakbi	dʒ ɛ dʒ ɐ k b aɪ
jejakhaewatda	dʒ ɛ dʒ ɐ k h iː w ɒ t d ə
jejakhago	dʒ ɛ dʒ ɐ k h eɪ ɡ əʊ
jejakhamyeonseo	dʒ ɛ dʒ ɐ k h a m j əʊ n s eɪ əʊ
jejakjinui	dʒ ɛ dʒ ɐ k dʒ ɪ n j uː i
jejarie	dʒ ɛ dʒ eɪ ɹ i
jejarireul	dʒ ɛ dʒ ɑː ɹ aɪə ɹ ʌ l
jejeonghaeseo	dʒ ɛ dʒ ɪ ɒ ŋ h iː s eɪ əʊ
jejidanghaetda	dʒ ɛ dʒ ɪ d a ŋ h iː t d ə
jejireul	dʒ ɛ dʒ aɪə ɹ ʌ l
jejoeopche	dʒ ɛ dʒ əʊ ɒ p tʃ
jejoeopjawa	dʒ ɛ dʒ əʊ ə p dʒ ɑː w ə
jeju	dʒ ɛ dʒ uː
jejudaee	dʒ ɛ dʒ uː d iː
jejudo	dʒ ɛ dʒ uː d əʊ
jejudoneun	dʒ ɛ dʒ uː d əʊ n ʌ n
jejueseo	dʒ ɛ dʒ j uː s eɪ əʊ
jejugangjeongmaeul	dʒ ɛ dʒ uː ɡ a ŋ dʒ ɪ ɒ ŋ m iː ʌ l
jejujoritdaero	dʒ ɛ dʒ uː dʒ ɔː ɹ ɪ t d eə ɹ əʊ
jejukkaji	dʒ ɛ dʒ ə k a dʒ i
jejureul	dʒ ɛ dʒ j ʊə ɹ uː l
jejuro	dʒ ɛ dʒ j ʊə ɹ əʊ
jejusi	dʒ ɛ dʒ uː s i
jejuui	dʒ ɛ dʒ uː i
jemogeun	dʒ ɛ m əʊ dʒ ʌ n
jenesiseuro	dʒ ɛ n ɪ s aɪ s j uː ɹ əʊ
jenesiseuui	dʒ ɛ n ɪ s aɪ s uː i
jenseun	dʒ ɛ n s j uː n
jeobeotda	dʒ ɪ əʊ b ɒ t d ə
jeobeotdeon	dʒ ɪ əʊ b ə t d ɪ ə n
jeobiyonghanggongsa	dʒ ɪ ɒ b ɪ j ɒ ŋ h ɐ ŋ ɡ ɒ ŋ s ə
jeochejungaui	dʒ ɪ ɒ tʃ ɪ dʒ ʌ ŋ ɡ ɔː i
jeocheonjeungina	dʒ ɪ ɒ tʃ ə n dʒ j uː n dʒ iː n ə
jeocheoreom	dʒ ɪ ɒ tʃ ɪ ɔː ɹ ɪ ə m
jeochulsan	dʒ ɪ ɒ tʃ ʌ l s ə n
jeochulsani	dʒ ɪ ɒ tʃ ə l s ɑː n i
jeochulsanui	dʒ ɪ ɒ tʃ ə l s a n j uː i
jeodo	dʒ ɪ əʊ d əʊ
jeodoljeogin	dʒ ɪ ɒ d ə l dʒ ɪ ɒ dʒ ɪ n
jeoedwaetda	dʒ ɪ əʊ d w iː t d ə
jeoege	dʒ ɪ əʊ dʒ
jeoehago	dʒ ɪ əʊ h eɪ ɡ əʊ
jeoehagoneun	dʒ ɪ əʊ h ɐ ɡ ə n j uː n
jeoehan	dʒ ɪ əʊ h ə n
jeoga	dʒ ɪ əʊ ɡ ə
jeogadambae	dʒ ɪ ɒ ɡ ɐ d a m b iː
jeoge	dʒ ɪ əʊ dʒ
jeogeo	dʒ ɪ əʊ dʒ ɪ əʊ
jeogeodo	dʒ ɪ əʊ dʒ əʊ d əʊ
jeogeon	dʒ ɪ əʊ dʒ ə n
jeogeonwatda	dʒ ɪ əʊ dʒ ə n w ɒ t d ə
jeogeotda	dʒ ɪ əʊ dʒ ɒ t d ə
jeogeotseupnida	dʒ ɪ əʊ dʒ ə t s j uː p n ɪ d ə
jeogeul	dʒ ɪ əʊ dʒ ʌ l
jeogeulsurok	dʒ ɪ əʊ dʒ ə l s ɜː ɹ ɒ k
jeogeumyeo	dʒ ɪ əʊ dʒ ə m ɪ eɪ əʊ
jeogeun	dʒ ɪ əʊ dʒ ʌ n
jeogeunggwa	dʒ ɪ əʊ dʒ ʌ ŋ ɡ w ə
jeogeungryeoge	dʒ ɪ əʊ dʒ ə ŋ ɡ r j əʊ dʒ
jeogeuro	dʒ ɪ əʊ dʒ j uː ɹ əʊ
jeogi	dʒ ɪ əʊ ɡ ɪ
jeogimjaga	dʒ ɪ ɒ dʒ ɪ m dʒ ɑː ɡ ə
jeogimjareul	dʒ ɪ ɒ dʒ ɪ m dʒ eə ɹ ʌ l
jeogyong	dʒ ɪ ɒ dʒ ɪ ɒ ŋ
jeogyongdoeji	dʒ ɪ ɒ dʒ ɪ ɒ ŋ d əʊ dʒ i
jeogyongdoemyeon	dʒ ɪ ɒ dʒ ɪ ɒ ŋ d əʊ m j əʊ n
jeogyongdoen	dʒ ɪ ɒ dʒ ɪ ɒ ŋ d əʊ n
jeogyongdoeneun	dʒ ɪ ɒ dʒ ɪ ɒ ŋ d əʊ n j uː n
jeogyongdwae	dʒ ɪ ɒ dʒ ɪ ɒ ŋ d w iː
jeogyongeul	dʒ ɪ ɒ dʒ ɪ ɒ n dʒ j uː l
jeogyongeun	dʒ ɪ ɒ dʒ ɪ ɒ n dʒ j uː n
jeogyonghae	dʒ ɪ ɒ dʒ ɪ ɒ ŋ h iː
jeogyonghaetda	dʒ ɪ ɒ dʒ ɪ ɒ ŋ h iː t d ə
jeogyonghago	dʒ ɪ ɒ dʒ ɪ ə ŋ h eɪ ɡ əʊ
jeogyonghamyeon	dʒ ɪ ɒ dʒ ɪ ɒ ŋ h ɐ m j əʊ n
jeogyonghan	dʒ ɪ ɒ dʒ ɪ ɒ ŋ h ə n
jeogyonghanda	dʒ ɪ ɒ dʒ ɪ ə ŋ h a n d ə
jeogyonghaneun	dʒ ɪ ɒ dʒ ɪ ɒ ŋ h ɐ n j uː n
jeohui	dʒ ɪ əʊ h j uː i
jeohuideul	dʒ ɪ əʊ h j uː aɪ d ʌ l
jeohuideureun	dʒ ɪ əʊ h j uː aɪ d j uː ɹ uː n
jeohuideuri	dʒ ɪ əʊ h j uː aɪ d j uː ɹ i
jeohuiga	dʒ ɪ əʊ h j uː ɪ ɡ ə
jeoja	dʒ ɪ əʊ dʒ ə
jeojado	dʒ ɪ ə dʒ ɑː d əʊ
jeojakgwoneul	dʒ ɪ ɒ dʒ ɐ k ɡ w ʌ n j uː l
jeojaneun	dʒ ɪ ɒ dʒ ɐ n j uː n
jeojeomiramyeo	dʒ ɪ əʊ dʒ ə m ɜː ɹ ɐ m ɪ eɪ əʊ
jeojeotseupnida	dʒ ɪ əʊ dʒ ə t s j uː p n ɪ d ə
jeojeun	dʒ ɪ əʊ dʒ ʌ n
jeojilreo	dʒ ɪ ɒ dʒ ɪ l ɹ eɪ əʊ
jeojilreosseul	dʒ ɪ ɒ dʒ ɪ l ɹ ɪ ɒ s j uː l
jeojilreotdago	dʒ ɪ ɒ dʒ ɪ l ɹ ɪ ə t d eɪ ɡ əʊ
jeojilreotseupnida	dʒ ɪ ɒ dʒ ɪ l ɹ ɪ ɒ t s j uː p n ɪ d ə
jeojilreoyo	dʒ ɪ ɒ dʒ ɪ l ɹ ɪ ɔɪ əʊ
jeojireugo	dʒ ɪ ɒ dʒ aɪə j uː ɡ əʊ
jeojireuji	dʒ ɪ ɒ dʒ aɪə j uː dʒ i
jeojireun	dʒ ɪ ɒ dʒ aɪə ɹ ʌ n
jeojohan	dʒ ɪ ɒ dʒ əʊ h a n
jeojupa	dʒ ɪ ɒ dʒ uː p ə
jeok	dʒ ɪ ɒ k
jeokbaldoegido	dʒ ɪ ɒ k b ə l d əʊ dʒ iː d əʊ
jeokbaldoen	dʒ ɪ ɒ k b ə l d əʊ n
jeokbaldwaetda	dʒ ɪ ɒ k b ə l d w iː t d ə
jeokbalhaesseuna	dʒ ɪ ɒ k b ɐ l h iː s j uː n ə
jeokbeophan	dʒ ɪ ɒ k b ɪ ɒ f ə n
jeokdaneun	dʒ ɪ ɒ k d ɐ n j uː n
jeokdanghan	dʒ ɪ ɒ k d a ŋ h ə n
jeokdanghi	dʒ ɪ ə k d a ŋ h ɪ
jeokdeureul	dʒ ɪ ɒ k d j uː ɹ uː l
jeokdo	dʒ ɪ ɒ k d əʊ
jeokge	dʒ ɪ ɒ k dʒ
jeokgeuk	dʒ ɪ ɒ k dʒ j uː k
jeokgeukjeogeuro	dʒ ɪ ɒ k dʒ j uː k dʒ ɪ əʊ dʒ j uː ɹ əʊ
jeokgeukjeogin	dʒ ɪ ɒ k dʒ j uː k dʒ ɪ ɒ dʒ ɪ n
jeokgeumeul	dʒ ɪ ɒ k dʒ j uː m j uː l
jeokgi	dʒ ɪ ɒ k ɡ ɪ
jeokgo	dʒ ɪ ɒ k ɡ əʊ
jeokgyeogideun	dʒ ɪ ɒ k dʒ j əʊ dʒ aɪ d ʌ n
jeokhaphaji	dʒ ɪ ɒ k h ɐ f a dʒ i
jeokhaphan	dʒ ɪ ɒ k h a f ə n
jeokhin	dʒ ɪ ɒ k h ɪ n
jeokhyeo	dʒ ɪ ɒ k h ɪ eɪ əʊ
jeokhyeoitseupnida	dʒ ɪ ɒ k h ɪ ɪ ɔɪ t s j uː p n ɪ d ə
jeokja	dʒ ɪ ɒ k dʒ ə
jeokjaneun	dʒ ɪ ɒ k dʒ ɐ n j uː n
jeokjani	dʒ ɪ ə k dʒ ɑː n i
jeokjareul	dʒ ɪ ɒ k dʒ eə ɹ ʌ l
jeokjeolchi	dʒ ɪ ɒ k dʒ ɪ ɒ l tʃ ɪ
jeokjeolhaji	dʒ ɪ ɒ k dʒ ɪ ɒ l h a dʒ i
jeokjeolhan	dʒ ɪ ɒ k dʒ ɪ ɒ l h ə n
jeokjeong	dʒ ɪ ɒ k dʒ ɪ ɒ ŋ
jeokji	dʒ ɪ ɒ k dʒ i
jeokpye	dʒ ɪ ɒ k p aɪ
jeoksipjaneun	dʒ ɪ ɒ k s ɪ p dʒ a n j uː n
jeolbane	dʒ ɪ ɒ l b eɪ n
jeolbaneul	dʒ ɪ ɒ l b ɐ n j uː l
jeolbangaryangeul	dʒ ɪ ɒ l b ɐ ŋ ɡ ɑː j a ŋ j uː l
jeolbangaryangin	dʒ ɪ ɒ l b ɐ ŋ ɡ ɑː j a ŋ ɪ n
jeolbanin	dʒ ɪ ɒ l b ɐ n ɪ n
jeolbankkaji	dʒ ɪ ɒ l b ɐ ŋ k a dʒ i
jeolbanui	dʒ ɪ ɒ l b ɐ n j uː i
jeolbeumui	dʒ ɪ ɒ l b j uː m j uː i
jeolcha	dʒ ɪ ɒ l tʃ ə
jeolchabuteo	dʒ ɪ ɒ l tʃ ɐ b j uː t eɪ əʊ
jeolchae	dʒ ɪ ɒ l k iː
jeolchaga	dʒ ɪ ə l tʃ ɑː ɡ ə
jeolchajeok	dʒ ɪ ɒ l tʃ eɪ dʒ ɒ k
jeolchasang	dʒ ɪ ɒ l tʃ ɐ s a ŋ
jeolchasangeuro	dʒ ɪ ɒ l tʃ ɐ s ɐ n dʒ j uː ɹ əʊ
jeolchawa	dʒ ɪ ə l tʃ ɑː w ə
jeoldaebandae	dʒ ɪ əʊ l d iː b a n d iː
jeoldaero	dʒ ɪ əʊ l d eə ɹ əʊ
jeoldane	dʒ ɪ əʊ l d eɪ n
jeoldanhaesseul	dʒ ɪ əʊ l d ɐ n h iː s j uː l
jeoldanhaneun	dʒ ɪ əʊ l d ɐ n h a n j uː n
jeoldo	dʒ ɪ əʊ l d əʊ
jeolgaehago	dʒ ɪ ɒ l ɡ iː h eɪ ɡ əʊ
jeolgamhaetgi	dʒ ɪ ɒ l ɡ ɐ m h iː t ɡ ɪ
jeolmangseureopda	dʒ ɪ ɒ l m ɐ ŋ s j uː ɹ ɪ ɒ p d ə
jeolmeum	dʒ ɪ ə l m iː ə m
jeolmeumeul	dʒ ɪ ɒ l m j uː m j uː l
jeolmeumui	dʒ ɪ ɒ l m j uː m j uː i
jeolmeun	dʒ ɪ ɒ l m j uː n
jeolmeuncheungeul	dʒ ɪ ɒ l m j uː n tʃ j uː n dʒ j uː l
jeolmeunideuri	dʒ ɪ ɒ l m j uː n aɪ d j uː ɹ i
jeolmeuniui	dʒ ɪ ɒ l m j uː n ɪ j uː i
jeolpire	dʒ ɪ ɒ l p aɪə
jeolse	dʒ ɪ ɒ l s
jeolsilhadaneun	dʒ ɪ ɒ l s ɪ l h a d ɐ n j uː n
jeolsilhan	dʒ ɪ ɒ l s ɪ l h ə n
jeom	dʒ ɪ ɒ m
jeomada	dʒ ɪ ə m ɑː d ə
jeomaegeul	dʒ ɪ ɒ m iː dʒ j uː l
jeombakke	dʒ ɪ ɒ m b a k
jeomcha	dʒ ɪ ɒ m tʃ ə
jeomchyeojigo	dʒ ɪ ɒ m tʃ j əʊ dʒ ɪ ɡ əʊ
jeomdeuri	dʒ ɪ ɒ m d j uː ɹ i
jeomdo	dʒ ɪ ɒ m d əʊ
jeome	dʒ ɪ əʊ m
jeomeneun	dʒ ɪ əʊ m n j uː n
jeomeseo	dʒ ɪ əʊ m s eɪ əʊ
jeomeseokkajido	dʒ ɪ əʊ m s ɪ ɒ k ɐ dʒ iː d əʊ
jeomeul	dʒ ɪ əʊ m ʌ l
jeomeun	dʒ ɪ əʊ m ʌ n
jeomge	dʒ ɪ ɒ m dʒ
jeomgeo	dʒ ɪ ə m dʒ eɪ əʊ
jeomgeomhan	dʒ ɪ ɒ m dʒ ɪ ɒ m h ə n
jeomgwa	dʒ ɪ ɒ m ɡ w ə
jeomi	dʒ ɪ əʊ m i
jeomida	dʒ ɪ ɒ m ɪ d ə
jeomipnida	dʒ ɪ ɒ m ɪ p n ɪ d ə
jeomjeom	dʒ ɪ ɒ m dʒ ɪ ə m
jeomjinjeogeuro	dʒ ɪ ɒ m dʒ ɪ n dʒ ɪ əʊ dʒ j uː ɹ əʊ
jeomponeun	dʒ ɪ ɒ m p əʊ n ʌ n
jeomseongsureul	dʒ ɪ ɒ m s ɪ ɒ ŋ s ə ɹ uː l
jeomsimsiksareul	dʒ ɪ ɒ m z ɪ m z ɪ k s eə ɹ ʌ l
jeomsuga	dʒ ɪ ə m s j uː ɡ ə
jeomsureul	dʒ ɪ ɒ m s ə ɹ uː l
jeomui	dʒ ɪ ɒ m j uː i
jeomureoganeun	dʒ ɪ ɒ m j ʊə ɹ ɪ ɒ ɡ ɐ n j uː n
jeomyuyul	dʒ ɪ ɒ m j uː j ʌ l
jeomyuyureul	dʒ ɪ ɒ m j uː j uː ɹ uː l
jeomyuyureun	dʒ ɪ ɒ m j uː j uː ɹ uː n
jeon	dʒ ɪ ɒ n
jeonabeul	dʒ ɪ ɒ n ɐ b j uː l
jeonbane	dʒ ɪ ɒ n b eɪ n
jeonbangwijeogeuro	dʒ ɪ ɒ n b ɐ ŋ w aɪ dʒ əʊ dʒ j uː ɹ əʊ
jeonbanjeogin	dʒ ɪ ɒ n b ɐ n dʒ ɪ ɒ dʒ ɪ n
jeonbeomgukgaroseo	dʒ ɪ ɒ n b ɪ ɒ m ɡ ə k ɡ a ɹ əʊ s ɪ əʊ
jeonbu	dʒ ɪ ɒ n b uː
jeonbuk	dʒ ɪ ɒ n b ʌ k
jeonbukgyeongchalcheong	dʒ ɪ ɒ n b ə k dʒ j əʊ ŋ tʃ a l tʃ ə ŋ ɡ
jeonbuneun	dʒ ɪ ɒ n b ə n j uː n
jeonbuteo	dʒ ɪ ɒ n b j uː t eɪ əʊ
jeonbuteoneun	dʒ ɪ ɒ n b j uː t ɪ əʊ n ʌ n
jeonche	dʒ ɪ ɒ n tʃ
jeonchee	dʒ ɪ ɒ n tʃ iː
jeonchega	dʒ ɪ ɒ n tʃ ɛ ɡ ə
jeonchegagu	dʒ ɪ ɒ n tʃ ɪ ɡ ɑː ɡ uː
jeonchejeogeuro	dʒ ɪ ɒ n tʃ ɪ dʒ ɪ əʊ dʒ j uː ɹ əʊ
jeoncheori	dʒ ɪ ɒ n tʃ ɪ ɔː ɹ i
jeonchereul	dʒ ɪ ɒ n tʃ ə ɹ uː l
jeonchero	dʒ ɪ ə n tʃ eə ɹ əʊ
jeoncheui	dʒ ɪ ɒ n tʃ j uː i
jeonchongjangui	dʒ ɪ ɒ n tʃ ə ŋ dʒ a ŋ ɡ w i
jeondaldwae	dʒ ɪ ɒ n d ɐ l d w iː
jeondalhago	dʒ ɪ ɒ n d ɐ l h eɪ ɡ əʊ
jeondam	dʒ ɪ ɒ n d ə m
jeondamhaneun	dʒ ɪ ɒ n d ɐ m h a n j uː n
jeondamtimeul	dʒ ɪ ɒ n d ɐ m t aɪ m ʌ l
jeondaneul	dʒ ɪ ɒ n d ɐ n j uː l
jeondangdaehoe	dʒ ɪ ɒ n d ɐ ŋ d iː h əʊ
jeondangdaehoee	dʒ ɪ ɒ n d ɐ ŋ d iː h əʊ
jeondangdaehoeeseo	dʒ ɪ ɒ n d ɐ ŋ d iː h əʊ ɪ s eɪ əʊ
jeondangdaehoega	dʒ ɪ ɒ n d ɐ ŋ d iː h əʊ ɡ ə
jeondanji	dʒ ɪ ɒ n d a n dʒ i
jeondohaetda	dʒ ɪ ɒ n d əʊ h iː t d ə
jeondongkateu	dʒ ɪ ɒ n d ə ŋ k a t j uː
jeonduhwan	dʒ ɪ ɒ n d uː w ə n
jeone	dʒ ɪ əʊ n
jeoneneun	dʒ ɪ əʊ n n j uː n
jeoneobyeoseongeun	dʒ ɪ əʊ n ə b j əʊ s ɪ ɒ n dʒ j uː n
jeoneohoereul	dʒ ɪ əʊ n əʊ h əʊ ə ɹ uː l
jeoneonida	dʒ ɪ əʊ n ɪ ɒ n ɪ d ə
jeoneseo	dʒ ɪ əʊ n s eɪ əʊ
jeoneun	dʒ ɪ əʊ n ʌ n
jeong	dʒ ɪ ɒ ŋ
jeongaedoel	dʒ ɪ ɒ ŋ ɡ iː d əʊ l
jeongahal	dʒ ɪ ɒ ŋ ɡ a h əl
jeongbeobwiwonhoe	dʒ ɪ ɒ ŋ b ɪ ə b w iː w ə n h əʊ
jeongbi	dʒ ɪ ɒ ŋ b aɪ
jeongbigongjangina	dʒ ɪ ɒ ŋ b ɪ ɡ ɒ ŋ dʒ ɐ n dʒ iː n ə
jeongbo	dʒ ɪ ɒ ŋ b əʊ
jeongbodanggugeun	dʒ ɪ ɒ ŋ b ə d a ŋ ɡ j uː dʒ j uː n
jeongboga	dʒ ɪ ə ŋ b əʊ ɡ ə
jeongbok	dʒ ɪ ɒ ŋ b ɒ k
jeongbonoteu	dʒ ɪ ɒ ŋ b ə n əʊ t uː
jeongboreul	dʒ ɪ ɒ ŋ b ɔː ɹ uː l
jeongbotongsinmangbeopsang	dʒ ɪ ɒ ŋ b ə t ɒ ŋ s ɪ n m a ŋ b ɪ ɒ p s a ŋ
jeongboui	dʒ ɪ ɒ ŋ b uː i
jeongbowa	dʒ ɪ ɒ ŋ b əʊ ə
jeongbu	dʒ ɪ ɒ ŋ b uː
jeongbudeureun	dʒ ɪ ɒ ŋ b j uː d j uː ɹ uː n
jeongbudo	dʒ ɪ ə ŋ b j uː d əʊ
jeongbue	dʒ ɪ ɒ ŋ b j uː
jeongbueseo	dʒ ɪ ɒ ŋ b j uː s eɪ əʊ
jeongbueseoneun	dʒ ɪ ɒ ŋ b j uː s ɪ əʊ n ʌ n
jeongbuga	dʒ ɪ ə ŋ b uː ɡ ə
jeongbugwacheoncheongsa	dʒ ɪ ɒ ŋ b ə ɡ w a ʃ ə n tʃ ə ŋ ɡ s ə
jeongbujigeun	dʒ ɪ ɒ ŋ b j uː dʒ aɪ dʒ ʌ n
jeongbujjok	dʒ ɪ ɒ ŋ b ə dʒ ɒ k
jeongbuna	dʒ ɪ ə ŋ b uː n ə
jeongbuneun	dʒ ɪ ɒ ŋ b ə n j uː n
jeongbureul	dʒ ɪ ɒ ŋ b j ʊə ɹ uː l
jeongbuui	dʒ ɪ ɒ ŋ b uː i
jeongbuwa	dʒ ɪ ɒ ŋ b j uː w ə
jeongbyeongguk	dʒ ɪ ɒ ŋ b j əʊ ŋ ɡ ʌ k
jeongchaege	dʒ ɪ ɒ ŋ k iː dʒ
jeongchaegekkaji	dʒ ɪ ɒ ŋ k iː dʒ ɛ k a dʒ i
jeongchaegeul	dʒ ɪ ɒ ŋ k iː dʒ j uː l
jeongchaegi	dʒ ɪ ɒ ŋ k iː ɡ ɪ
jeongchaegirago	dʒ ɪ ɒ ŋ k iː dʒ ə ɹ eɪ ɡ əʊ
jeongchaegwiuijang	dʒ ɪ ɒ ŋ k iː ɡ w ɪ j uː ɪ dʒ a ŋ
jeongchaek	dʒ ɪ ɒ ŋ k iː k
jeongchaekchonggwalgwa	dʒ ɪ ɒ ŋ k iː k tʃ ɒ ŋ ɡ w ɒ l ɡ w ə
jeongchaekdeureul	dʒ ɪ ɒ ŋ k iː k d j uː ɹ uː l
jeongchaekgihoekgwaneul	dʒ ɪ ɒ ŋ k iː k dʒ ɪ h əʊ k ɡ w eɪ n ʌ l
jeongchaekgwa	dʒ ɪ ɒ ŋ k iː k ɡ w ə
jeongchaekjeogin	dʒ ɪ ɒ ŋ k iː k dʒ ɪ ɒ dʒ ɪ n
jeongchaekjojeonghoeui	dʒ ɪ ɒ ŋ k iː k dʒ əʊ dʒ ɪ ɒ ŋ h əʊ j uː i
jeongchaekjojeonghyeobuihoereul	dʒ ɪ ɒ ŋ k iː k dʒ əʊ dʒ ɪ ɒ ŋ h j əʊ b j uː ɪ h əʊ ə ɹ uː l
jeongchaekmada	dʒ ɪ ɒ ŋ k iː k m ɑː d ə
jeongchakchone	dʒ ɪ ɒ ŋ tʃ ɐ k tʃ əʊ n
jeongchakdoegikkajineun	dʒ ɪ ɒ ŋ tʃ ɐ k d əʊ dʒ ɪ k a dʒ aɪ n ʌ n
jeongchakhaetda	dʒ ɪ ɒ ŋ tʃ ɐ k h iː t d ə
jeongchalchongguk	dʒ ɪ ɒ ŋ tʃ ɐ l tʃ ɒ ŋ ɡ ʌ k
jeongche	dʒ ɪ ɒ ŋ tʃ
jeongchedwaetdeon	dʒ ɪ ɒ ŋ tʃ ɪ d w iː t d ɪ ə n
jeongchega	dʒ ɪ ɒ ŋ tʃ ɛ ɡ ə
jeongcheneun	dʒ ɪ ɒ ŋ tʃ ə n j uː n
jeongcheongrae	dʒ ɪ ɒ ŋ tʃ ə ŋ ɡ ɹ iː
jeongcheseongeul	dʒ ɪ ɒ ŋ tʃ ɪ s ɪ ɒ n dʒ j uː l
jeongchi	dʒ ɪ ɒ ŋ tʃ ɪ
jeongchibeom	dʒ ɪ ɒ ŋ tʃ aɪ b ə m
jeongchido	dʒ ɪ ə ŋ tʃ iː d əʊ
jeongchigongseraneun	dʒ ɪ ɒ ŋ tʃ ɪ ɡ ɒ ŋ s ə ɹ a n j uː n
