-o	ɔ
idiota	i d i ɔ t ɐ
idiotas	i d i ɔ t ɐ ʃ
idiotazito	i d i u t ɐ z i t ʊ
idiotismo	i d i u t i ʒ m ʊ
ido	i d ʊ
idolatra	i d u l a t ɹ ɐ
idolatrada	i d u l ɐ t ɹ a d ɐ
idolatrado	i d u l ɐ t ɹ a d ʊ
idolatrando	i d u l ɐ t ɹ ɐ̃ ŋ d ʊ
idolatre	i d u l a t ɹ ɨ
idolatria	i d u l ɐ t ɹ i ɐ
idolatrias	i d u l ɐ t ɹ i ɐ ʃ
idolatro	i d u l a t ɹ ʊ
idolo	i d ɔ l ʊ
idonea	i d u n i ɐ
idoneas	i d u n i ɐ ʃ
idoneidade	i d u n eɪ d a d ɨ
idos	i d ʊ ʃ
idosa	i d ɔ z ɐ
idosas	i d ɔ z ɐ ʃ
idoso	i d o z ʊ
idosos	i d ɔ z ʊ ʃ
idumeia	i d u m eɪ ɐ
idumeus	i d u m eʊ ʃ
iduméa	i d u m ɛ ɐ
iduméia	i d u m ɛɪ ɐ
iduméias	i d u m ɛɪ ɐ ʃ
idylio	i d i l iʊ
idyllio	i d i l iʊ
idyllios	i d i l iʊ ʃ
idálios	i d ɑ l j ʊ ʃ
idéa	i d ɛ ɐ
idéade	i d ɛ ɐ d ɨ
idéas	i d ɛ ɐ ʃ
idéia	i d ɛɪ ɐ
idéias	i d ɛɪ ɐ ʃ
idêntica	i d eɪ ŋ t i k ɐ
idênticas	i d eɪ ŋ t i k ɐ ʃ
idêntico	i d eɪ ŋ t i k ʊ
idênticos	i d eɪ ŋ t i k ʊ ʃ
idílico	i d i l i k ʊ
idílio	i d i l j ʊ
idílios	i d i l j ʊ ʃ
idôneo	i d o n i ʊ
idôneos	i d o n i ʊ ʃ
ie	i ɨ
ieantide	i ɨ ɐ̃ ŋ t i d ɨ
iegundo	i ɨ ɡ ũ ŋ d ʊ
ieis	i eɪ ʃ
ieixados	i eɪ ʃ a d ʊ ʃ
ielcrontinuara	i ɨ l k ɹ u ŋ t i n u a ɾ ɐ
iemos	i e m ʊ ʃ
ienomau	i ɨ n u m aʊ
ieram	i e ɾ ɐ̃ʊ̃
ietzsche	i e t z s ʃ ɨ
ieus	i eʊ ʃ
iffo	i f ʊ
iflb	i f l b
ifto	i f t ʊ
ig	i ɡ
iga	i ɡ ɐ
igapós	i ɡ ɐ p ɔ ʃ
igara	i ɡ a ɾ ɐ
igarapé	i ɡ ɐ ɾ ɐ p ɛ
igarapés	i ɡ ɐ ɾ ɐ p ɛ ʃ
igaras	i ɡ a ɾ ɐ ʃ
igaçaba	i ɡ ɐ s a b ɐ
igaçabas	i ɡ ɐ s a b ɐ ʃ
igmol	i ɡ m ɔ l
ign	i ɡ n
ignacio	i ɡ n ɐ s iʊ
ignara	i ɡ n a ɾ ɐ
ignaro	i ɡ n a ɾ ʊ
ignaríssimo	i ɡ n ɐ ɾ i s i m ʊ
igneose	i ɡ n i ɔ z ɨ
ignez	i ɡ n e ʃ
ignichevo	i ɡ n i ʃ ɛ v ʊ
ignichévo	i ɡ n i ʃ ɛ v ʊ
ignifica	i ɡ n i f i k ɐ
ignis	i ɡ n i ʃ
ignição	i ɡ n i s ɐ̃ʊ̃
ignobil	i ɡ n u b i l
ignominia	i ɡ n u m i n i ɐ
ignominiofa	i ɡ n u m i n i o f ɐ
ignominiosa	i ɡ n u m i n i ɔ z ɐ
ignominiosamente	i ɡ n u m i n i u z ɐ m eɪ ŋ t ɨ
ignominioso	i ɡ n u m i n i o z ʊ
ignomínia	i ɡ n u m i n j ɐ
ignora	i ɡ n ɔ ɾ ɐ
ignorada	i ɡ n u ɾ a d ɐ
ignoradas	i ɡ n u ɾ a d ɐ ʃ
ignorado	i ɡ n u ɾ a d ʊ
ignorados	i ɡ n u ɾ a d ʊ ʃ
ignoraiíle	i ɡ n u ɾ aɪ i l ɨ
ignoram	i ɡ n ɔ ɾ ɐ̃ʊ̃
ignorancia	i ɡ n u ɾ ɐ̃ ŋ s i ɐ
ignorancias	i ɡ n u ɾ ɐ̃ ŋ s i ɐ ʃ
ignorando	i ɡ n u ɾ ɐ̃ ŋ d ʊ
ignorante	i ɡ n u ɾ ɐ̃ ŋ t ɨ
ignorantes	i ɡ n u ɾ ɐ̃ ŋ t ɨ ʃ
ignorantona	i ɡ n u ɾ ɐ̃ ŋ t o n ɐ
ignorar	i ɡ n u ɾ a ɹ
ignoras	i ɡ n ɔ ɾ ɐ ʃ
ignorasse	i ɡ n u ɾ a s ɨ
ignorava	i ɡ n u ɾ a v ɐ
ignore	i ɡ n ɔ ɾ ɨ
ignores	i ɡ n ɔ ɾ ɨ ʃ
ignoro	i ɡ n ɔ ɾ ʊ
ignorou	i ɡ n u ɾ o w
ignorância	i ɡ n u ɾ ɐ̃ ŋ s j ɐ
ignota	i ɡ n ɔ t ɐ
ignotas	i ɡ n ɔ t ɐ ʃ
ignoto	i ɡ n ɔ t ʊ
ignotos	i ɡ n ɔ t ʊ ʃ
ignívoma	i ɡ n i v u m ɐ
ignívomo	i ɡ n i v u m ʊ
ignóbil	i ɡ n ɔ b i l
igreja	i ɡ ɹ e ʒ ɐ
igrejas	i ɡ ɹ e ʒ ɐ ʃ
igrejinha	i ɡ ɹ ɨ ʒ i ɲ ɐ
iguabe	i ɡ w a b ɨ
iguaes	i ɡ w a ɨ ʃ
iguais	i ɡ w aɪ ʃ
iguaizinhas	i ɡ w aɪ z i ɲ ɐ ʃ
iguaizinhos	i ɡ w aɪ z i ɲ ʊ ʃ
igual	i ɡ w ɑ l
iguala	i ɡ w a l ɐ
igualar	i ɡ w ɐ l a ɹ
igualdade	i ɡ w ɑ l d a d ɨ
igualitária	i ɡ w ɐ l i t a ɾ j ɐ
igualmente	i ɡ w ɑ l m eɪ ŋ t ɨ
igualou	i ɡ w ɐ l o w
iguape	i ɡ w a p ɨ
iguaria	i ɡ w ɐ ɾ i ɐ
iguarias	i ɡ w ɐ ɾ i ɐ ʃ
iguaçu	i ɡ w ɐ s u
ih	i
ihc	i k
ihe	i ɨ
ihes	i ɨ ʃ
iho	i ʊ
ihu	i u
ii	j i
iia	j i ɐ
iii	j j i
iim	j i ŋ
iimpo	j i m p ʊ
iini	j i n i
iinmensanien	j i ŋ m eɪ ŋ s ɐ n i eɪ ŋ
iio	j iʊ
iire	j i ɾ ɨ
iirnudo	j i ɾ ə n u d ʊ
iito	j i t ʊ
iiílas	j j i l ɐ ʃ
ijm	i ʒ m
il	i l
ila	i l ɐ
ilapso	i l a p s ʊ
ilcada	i l k a d ɐ
ildefonso	i l d ɨ f o ŋ s ʊ
ilei	i l eɪ
ilesas	i l e z ɐ ʃ
ilha	i ʎ ɐ
ilhais	i ʎ aɪ ʃ
ilham	i ʎ ɐ̃ʊ̃
ilhando	i ʎ ɐ̃ ŋ d ʊ
ilhapa	i ʎ a p ɐ
ilharga	i ʎ a ɾ ə ɡ ɐ
ilhargas	i ʎ a ɾ ə ɡ ɐ ʃ
ilhas	i ʎ ɐ ʃ
ilhava	i ʎ a v ɐ
ilhoses	i ʎ ɔ z ɨ ʃ
ilhotas	i ʎ ɔ t ɐ ʃ
ilhéu	i ʎ ɛʊ
ilimitada	i l i m i t a d ɐ
ilimitadamente	i l i m i t ɐ d ɐ m eɪ ŋ t ɨ
ilimitado	i l i m i t a d ʊ
ilimitados	i l i m i t a d ʊ ʃ
ilimitadíssima	i l i m i t ɐ d i s i m ɐ
ilimitáveis	i l i m i t a v eɪ ʃ
ilinas	i l i n ɐ ʃ
ilizes	i l i z ɨ ʃ
ill	i l
illa	i l ɐ
illaqueados	i l ɐ k ɨ a d ʊ ʃ
ille	i l ɨ
illegal	i l ɨ ɡ ɑ l
illegitimos	i l ɨ ʒ i t i m ʊ ʃ
illeso	i l e z ʊ
illiada	i l i a d ɐ
illimilado	i l i m i l a d ʊ
illimitado	i l i m i t a d ʊ
illo	i l ʊ
illud	i l u d
illudia	i l u d i ɐ
illudido	i l u d i d ʊ
illudidos	i l u d i d ʊ ʃ
illudindo	i l u d i ŋ d ʊ
illudir	i l u d i ɹ
illudo	i l u d ʊ
illuftre	i l u f t ɹ ɨ
illuftres	i l u f t ɹ ɨ ʃ
illumi	i l u m i
illumina	i l u m i n ɐ
illuminada	i l u m i n a d ɐ
illuminado	i l u m i n a d ʊ
illuminados	i l u m i n a d ʊ ʃ
illuminar	i l u m i n a ɹ
illuminavam	i l u m i n a v ɐ̃ʊ̃
illuminações	i l u m i n ɐ s õ j ʃ
illuminou	i l u m i n o w
illuminuras	i l u m i n u ɾ ɐ ʃ
illustrado	i l u ʃ t ɹ a d ʊ
illustral	i l u ʃ t ɹ ɑ l
illustrando	i l u ʃ t ɹ ɐ̃ ŋ d ʊ
illustrar	i l u ʃ t ɹ a ɹ
illustraçâo	i l u ʃ t ɹ ɐ s ɐ ʊ
illustração	i l u ʃ t ɹ ɐ s ɐ̃ʊ̃
illustrações	i l u ʃ t ɹ ɐ s õ j ʃ
illustre	i l u ʃ t ɹ ɨ
illustres	i l u ʃ t ɹ ɨ ʃ
illusão	i l u z ɐ̃ʊ̃
illusões	i l u z õ j ʃ
illysso	i l i s ʊ
ilmo	i l m ʊ
ilo	i l ʊ
ilogicamente	i l u ʒ i k ɐ m eɪ ŋ t ɨ
iluda	i l u d ɐ
iludam	i l u d ɐ̃ʊ̃
ilude	i l u d ɨ
iludem	i l u d eɪ ŋ
iludes	i l u d ɨ ʃ
iludi	i l u d i
iludi-me	i l u d i m ɨ
iludia	i l u d i ɐ
iludiam	i l u d i ɐ̃ʊ̃
iludida	i l u d i d ɐ
iludidas	i l u d i d ɐ ʃ
iludido	i l u d i d ʊ
iludidos	i l u d i d ʊ ʃ
iludindo	i l u d i ŋ d ʊ
iludir	i l u d i ɹ
iludir-se	i l u d i ɹ s ɨ
iludira	i l u d i ɾ ɐ
iludiram	i l u d i ɾ ɐ̃ʊ̃
iludirame	i l u d i ɾ ɐ̃ m ɨ
iludiu	i l u d iʊ
iludo	i l u d ʊ
ilumina	i l u m i n ɐ
iluminada	i l u m i n a d ɐ
iluminadas	i l u m i n a d ɐ ʃ
iluminado	i l u m i n a d ʊ
iluminados	i l u m i n a d ʊ ʃ
iluminando	i l u m i n ɐ̃ ŋ d ʊ
iluminar	i l u m i n a ɹ
iluminara	i l u m i n a ɾ ɐ
iluminava	i l u m i n a v ɐ
iluminação	i l u m i n ɐ s ɐ̃ʊ̃
iluminações	i l u m i n ɐ s õ j ʃ
iluminou	i l u m i n o w
iluminuras	i l u m i n u ɾ ɐ ʃ
ilustradas	i l u ʃ t ɹ a d ɐ ʃ
ilustrado	i l u ʃ t ɹ a d ʊ
ilustrados	i l u ʃ t ɹ a d ʊ ʃ
ilustram	i l u ʃ t ɹ ɐ̃ʊ̃
ilustrar	i l u ʃ t ɹ a ɹ
ilustraram	i l u ʃ t ɹ a ɾ ɐ̃ʊ̃
ilustração	i l u ʃ t ɹ ɐ s ɐ̃ʊ̃
ilustrações	i l u ʃ t ɹ ɐ s õ j ʃ
ilustre	i l u ʃ t ɹ ɨ
ilustres	i l u ʃ t ɹ ɨ ʃ
ilustrou	i l u ʃ t ɹ o w
ilustríssima	i l u ʃ t ɹ i s i m ɐ
ilusão	i l u z ɐ̃ʊ̃
ilusória	i l u z ɔ ɾ j ɐ
ilusórias	i l u z ɔ ɾ j ɐ ʃ
ilusório	i l u z ɔ ɾ j ʊ
ilusórios	i l u z ɔ ɾ j ʊ ʃ
ilusões	i l u z õ j ʃ
ilva	i l v ɐ
ilíada	i l i ɐ d ɐ
ilícito	i l i s i t ʊ
ilírico	i l i ɾ i k ʊ
ilógica	i l ɔ ʒ i k ɐ
ilógico	i l ɔ ʒ i k ʊ
ilógicos	i l ɔ ʒ i k ʊ ʃ
im	i ŋ
ima	i m ɐ
imaculada	i m ɐ k u l a d ɐ
imaculadamente	i m ɐ k u l ɐ d ɐ m eɪ ŋ t ɨ
imaculado	i m ɐ k u l a d ʊ
imaculados	i m ɐ k u l a d ʊ ʃ
imagem	i m a ʒ eɪ ŋ
imagens	i m a ʒ eɪ ŋ ʃ
imagina	i m ɐ ʒ i n ɐ
imaginada	i m ɐ ʒ i n a d ɐ
imaginado	i m ɐ ʒ i n a d ʊ
imaginador	i m ɐ ʒ i n ɐ d o ɹ
imaginai	i m ɐ ʒ i n aɪ
imaginais	i m ɐ ʒ i n aɪ ʃ
imaginam	i m ɐ ʒ i n ɐ̃ʊ̃
imaginamo	i m ɐ ʒ i n ɐ̃ m ʊ
imaginamos	i m ɐ ʒ i n ɐ̃ m ʊ ʃ
imaginando	i m ɐ ʒ i n ɐ̃ ŋ d ʊ
imaginar	i m ɐ ʒ i n a ɹ
imaginar-me	i m ɐ ʒ i n a ɹ m ɨ
imaginara	i m ɐ ʒ i n a ɾ ɐ
imaginaria	i m ɐ ʒ i n ɐ ɾ i ɐ
imaginariamente	i m ɐ ʒ i n ɐ ɾ i ɐ m eɪ ŋ t ɨ
imaginará	i m ɐ ʒ i n ɐ ɾ a
imaginas	i m ɐ ʒ i n ɐ ʃ
imaginassem	i m ɐ ʒ i n a s eɪ ŋ
imaginativa	i m ɐ ʒ i n ɐ t i v ɐ
imaginativo	i m ɐ ʒ i n ɐ t i v ʊ
imaginava	i m ɐ ʒ i n a v ɐ
imaginava-se	i m ɐ ʒ i n a v ɐ s ɨ
imaginavam	i m ɐ ʒ i n a v ɐ̃ʊ̃
imaginação	i m ɐ ʒ i n ɐ s ɐ̃ʊ̃
imaginações	i m ɐ ʒ i n ɐ s õ j ʃ
imagine	i m ɐ ʒ i n ɨ
imagine-se	i m ɐ ʒ i n ɨ s ɨ
imaginei	i m ɐ ʒ i n eɪ
imaginem	i m ɐ ʒ i n eɪ ŋ
imaginemos	i m ɐ ʒ i n e m ʊ ʃ
imagines	i m ɐ ʒ i n ɨ ʃ
imagino	i m ɐ ʒ i n ʊ
imaginosa	i m ɐ ʒ i n ɔ z ɐ
imaginosas	i m ɐ ʒ i n ɔ z ɐ ʃ
imaginoso	i m ɐ ʒ i n o z ʊ
imaginou	i m ɐ ʒ i n o w
imaginá	i m ɐ ʒ i n a
imaginária	i m ɐ ʒ i n a ɾ j ɐ
imaginárias	i m ɐ ʒ i n a ɾ j ɐ ʃ
imaginário	i m ɐ ʒ i n a ɾ j ʊ
imaginários	i m ɐ ʒ i n a ɾ j ʊ ʃ
imagináveis	i m ɐ ʒ i n a v eɪ ʃ
iman	i m ɐ̃ ŋ
imanente	i m ɐ n eɪ ŋ t ɨ
imanentes	i m ɐ n eɪ ŋ t ɨ ʃ
imanus	i m ɐ̃ n u ʃ
imanência	i m ɐ n eɪ ŋ s j ɐ
imarcescíveis	i m ɐ ɾ ə s ɨ s i v eɪ ʃ
imateriais	i m ɐ t e ɾ i aɪ ʃ
imaterial	i m ɐ t e ɾ i ɑ l
imaterializada	i m ɐ t e ɾ i ɐ l i z a d ɐ
imaterializado	i m ɐ t e ɾ i ɐ l i z a d ʊ
imbecil	i m b ɨ s i l
imbecilidade	i m b ɨ s i l i d a d ɨ
imberbe	i m b ɛ ɾ ə b ɨ
imberbes	i m b ɛ ɾ ə b ɨ ʃ
imbróglios	i m b ɹ ɔ ɡ l j ʊ ʃ
imbu	i m b u
imbuído	i m b u i d ʊ
imbuíram	i m b u i ɾ ɐ̃ʊ̃
imediata	i m ɨ d i a t ɐ
imediatamente	i m ɨ d i ɐ t ɐ m eɪ ŋ t ɨ
imediatas	i m ɨ d i a t ɐ ʃ
imediato	i m ɨ d i a t ʊ
imediatos	i m ɨ d i a t ʊ ʃ
imediações	i m ɨ d i ɐ s õ j ʃ
imelano	i m ɨ l ɐ̃ n ʊ
imemorial	i m ɨ m u ɾ i ɑ l
imensa	i m eɪ ŋ s ɐ
imensamente	i m eɪ ŋ s ɐ m eɪ ŋ t ɨ
imensas	i m eɪ ŋ s ɐ ʃ
imensidade	i m eɪ ŋ s i d a d ɨ
imensidades	i m eɪ ŋ s i d a d ɨ ʃ
imensidão	i m eɪ ŋ s i d ɐ̃ʊ̃
imenso	i m eɪ ŋ s ʊ
imensos	i m eɪ ŋ s ʊ ʃ
imergia	i m ɨ ɾ ə ʒ i ɐ
imergiam	i m ɨ ɾ ə ʒ i ɐ̃ʊ̃
imergindo	i m ɨ ɾ ə ʒ i ŋ d ʊ
imergiu	i m ɨ ɾ ə ʒ iʊ
imersa	i m ɛ ɾ ə s ɐ
imersas	i m ɛ ɾ ə s ɐ ʃ
imerso	i m ɛ ɾ ə s ʊ
imersos	i m ɛ ɾ ə s ʊ ʃ
imguas	i m ɡ w ɐ ʃ
imhotep	i m u t e p
imi	i m i
imiga	i m i ɡ ɐ
imigos	i m i ɡ ʊ ʃ
imigrante	i m i ɡ ɹ ɐ̃ ŋ t ɨ
imigrantes	i m i ɡ ɹ ɐ̃ ŋ t ɨ ʃ
imigração	i m i ɡ ɹ ɐ s ɐ̃ʊ̃
imigrações	i m i ɡ ɹ ɐ s õ j ʃ
iminente	i m i n eɪ ŋ t ɨ
iminência	i m i n eɪ ŋ s j ɐ
imita	i m i t ɐ
imitada	i m i t a d ɐ
imitador	i m i t ɐ d o ɹ
imital	i m i t ɑ l
imitando	i m i t ɐ̃ ŋ d ʊ
imitante	i m i t ɐ̃ ŋ t ɨ
imitar	i m i t a ɹ
imitaram	i m i t a ɾ ɐ̃ʊ̃
imitasse	i m i t a s ɨ
imitativo	i m i t ɐ t i v ʊ
imitava	i m i t a v ɐ
imitavam	i m i t a v ɐ̃ʊ̃
imitação	i m i t ɐ s ɐ̃ʊ̃
imitações	i m i t ɐ s õ j ʃ
imite	i m i t ɨ
imitou	i m i t o w
imitá	i m i t a
imiversidade	i m i v e ɾ ə s i d a d ɨ
immaculada	i m m ɐ k u l a d ɐ
immaculadas	i m m ɐ k u l a d ɐ ʃ
immaculado	i m m ɐ k u l a d ʊ
immediata	i m m ɨ d i a t ɐ
immediatamente	i m m ɨ d i ɐ t ɐ m eɪ ŋ t ɨ
immediato	i m m ɨ d i a t ʊ
immediatos	i m m ɨ d i a t ʊ ʃ
immen	i m m eɪ ŋ
immensa	i m m eɪ ŋ s ɐ
immensamente	i m m eɪ ŋ s ɐ m eɪ ŋ t ɨ
immensas	i m m eɪ ŋ s ɐ ʃ
immensidade	i m m eɪ ŋ s i d a d ɨ
immensidadedo	i m m eɪ ŋ s i d ɐ d e d ʊ
immenso	i m m eɪ ŋ s ʊ
immensodo	i m m eɪ ŋ s ɔ d ʊ
immensos	i m m eɪ ŋ s ʊ ʃ
immensídacle	i m m eɪ ŋ s i d ɐ k l ɨ
immerso	i m m ɛ ɾ ə s ʊ
immersos	i m m ɛ ɾ ə s ʊ ʃ
immigrado	i m m i ɡ ɹ a d ʊ
immigrante	i m m i ɡ ɹ ɐ̃ ŋ t ɨ
immigrantes	i m m i ɡ ɹ ɐ̃ ŋ t ɨ ʃ
immigração	i m m i ɡ ɹ ɐ s ɐ̃ʊ̃
immildes	i m m i l d ɨ ʃ
imminente	i m m i n eɪ ŋ t ɨ
imminentes	i m m i n eɪ ŋ t ɨ ʃ
immobilidade	i m m u b i l i d a d ɨ
immobilisava	i m m u b i l i z a v ɐ
immobilisou	i m m u b i l i z o w
immoderada	i m m u d ɨ ɾ a d ɐ
immola	i m m ɔ l ɐ
immolar	i m m u l a ɹ
immolarão	i m m u l ɐ ɾ ɐ̃ʊ̃
immonedouras	i m m u n ɨ d o w ɾ ɐ ʃ
immoral	i m m u ɾ ɑ l
immoralidade	i m m u ɾ ɐ l i d a d ɨ
immorredouro	i m m u ʁ ɨ d o w ɾ ʊ
immortaes	i m m u ɾ ə t a ɨ ʃ
immortal	i m m u ɾ ə t ɑ l
immortalidade	i m m u ɾ ə t ɐ l i d a d ɨ
immortalisar	i m m u ɾ ə t ɐ l i z a ɹ
immoveis	i m m u v eɪ ʃ
immovel	i m m o v ɛ l
immrwifiavez	i m m ɾ ə w i f i ɐ v e ʃ
immunda	i m m ũ ŋ d ɐ
immundae	i m m ũ ŋ d a ɨ
immundicie	i m m ũ ŋ d i s i ɨ
immundo	i m m ũ ŋ d ʊ
immune	i m m u n ɨ
immutabilidade	i m m u t ɐ b i l i d a d ɨ
immutavel	i m m u t a v ɛ l
immínso	i m m i ŋ s ʊ
imná	i m n a
imo	i m ʊ
imobilidade	i m u b i l i d a d ɨ
imobilizadas	i m u b i l i z a d ɐ ʃ
imobilizados	i m u b i l i z a d ʊ ʃ
imobilizam	i m u b i l i z ɐ̃ʊ̃
imobilizando	i m u b i l i z ɐ̃ ŋ d ʊ
imobilizar	i m u b i l i z a ɹ
imobilizava	i m u b i l i z a v ɐ
imobilizavam	i m u b i l i z a v ɐ̃ʊ̃
imobilizou	i m u b i l i z o w
imodesta	i m u d ɛ ʃ t ɐ
imodesto	i m u d ɛ ʃ t ʊ
imola-la	i m ɔ l ɐ l ɐ
imolada	i m u l a d ɐ
imoladas	i m u l a d ɐ ʃ
imolar	i m u l a ɹ
imolava	i m u l a v ɐ
imolação	i m u l ɐ s ɐ̃ʊ̃
imolou	i m u l o w
imolá	i m u l a
imorais	i m u ɾ aɪ ʃ
imoral	i m u ɾ ɑ l
imoralidade	i m u ɾ ɐ l i d a d ɨ
imorredoura	i m u ʁ ɨ d o w ɾ ɐ
imorredouro	i m u ʁ ɨ d o w ɾ ʊ
imorredouros	i m u ʁ ɨ d o w ɾ ʊ ʃ
imortais	i m u ɾ ə t aɪ ʃ
imortal	i m u ɾ ə t ɑ l
imortalidade	i m u ɾ ə t ɐ l i d a d ɨ
imortalizaram	i m u ɾ ə t ɐ l i z a ɾ ɐ̃ʊ̃
imortalizou	i m u ɾ ə t ɐ l i z o w
imortalmente	i m u ɾ ə t ɑ l m eɪ ŋ t ɨ
imoto	i m ɔ t ʊ
impa	i m p ɐ
impaciencia	i m p ɐ s i eɪ ŋ s i ɐ
impaciencias	i m p ɐ s i eɪ ŋ s i ɐ ʃ
impacienta	i m p ɐ s i eɪ ŋ t ɐ
impacientados	i m p ɐ s i eɪ ŋ t a d ʊ ʃ
impacientando	i m p ɐ s i eɪ ŋ t ɐ̃ ŋ d ʊ
impacientar	i m p ɐ s i eɪ ŋ t a ɹ
impacientar-se	i m p ɐ s i eɪ ŋ t a ɹ s ɨ
impaciente	i m p ɐ s i eɪ ŋ t ɨ
impacientes	i m p ɐ s i eɪ ŋ t ɨ ʃ
impacientou	i m p ɐ s i eɪ ŋ t o w
impaciência	i m p ɐ s j eɪ ŋ s j ɐ
impaciências	i m p ɐ s j eɪ ŋ s j ɐ ʃ
impagavel	i m p ɐ ɡ a v ɛ l
impagáveis	i m p ɐ ɡ a v eɪ ʃ
impalpavel	i m p ɑ l p a v ɛ l
impalpáveis	i m p ɑ l p a v eɪ ʃ
impalpável	i m p ɑ l p a v ɛ l
impaludismo	i m p ɐ l u d i ʒ m ʊ
impando	i m p ɐ̃ ŋ d ʊ
imparciaes	i m p ɐ ɾ ə s i a ɨ ʃ
imparcial	i m p ɐ ɾ ə s i ɑ l
imparcialidade	i m p ɐ ɾ ə s i ɐ l i d a d ɨ
impartível	i m p ɐ ɾ ə t i v ɛ l
imparxiar	i m p ɐ ɾ ə ʃ i a ɹ
impassibilidade	i m p ɐ s i b i l i d a d ɨ
impassivel	i m p ɐ s i v ɛ l
impassivelmente	i m p ɐ s i v ɨ l m eɪ ŋ t ɨ
impassíveis	i m p ɐ s i v eɪ ʃ
impassível	i m p ɐ s i v ɛ l
impava	i m p a v ɐ
impeccavel	i m p ɛ k a v ɛ l
impectuoso	i m p ɛ t w o z ʊ
impecável	i m p ɨ k a v ɛ l
impede	i m p ɛ d ɨ
impedem	i m p ɛ d eɪ ŋ
impedi	i m p ɨ d i
impedia	i m p ɨ d i ɐ
impediam	i m p ɨ d i ɐ̃ʊ̃
impedida	i m p ɨ d i d ɐ
impedido	i m p ɨ d i d ʊ
impedimento	i m p ɨ d i m eɪ ŋ t ʊ
impedindo	i m p ɨ d i ŋ d ʊ
impedir	i m p ɨ d i ɹ
impedira	i m p ɨ d i ɾ ɐ
impediram	i m p ɨ d i ɾ ɐ̃ʊ̃
impediria	i m p ɨ d i ɾ i ɐ
impedirás	i m p ɨ d i ɾ a ʃ
impedisse	i m p ɨ d i s ɨ
impedissem	i m p ɨ d i s eɪ ŋ
impediu	i m p ɨ d iʊ
impele	i m p ɛ l ɨ
impelem	i m p ɛ l eɪ ŋ
impeli	i m p ɨ l i
impelia	i m p ɨ l i ɐ
impelia-se	i m p ɨ l i ɐ s ɨ
impelida	i m p ɨ l i d ɐ
impelido	i m p ɨ l i d ʊ
impelidos	i m p ɨ l i d ʊ ʃ
impeliido	i m p ɨ l j i d ʊ
impelindo	i m p ɨ l i ŋ d ʊ
impelir	i m p ɨ l i ɹ
impeliram	i m p ɨ l i ɾ ɐ̃ʊ̃
impelisse	i m p ɨ l i s ɨ
impeliu	i m p ɨ l iʊ
impelle	i m p ɛ l ɨ
impellia	i m p ɨ l i ɐ
impelliam	i m p ɨ l i ɐ̃ʊ̃
impellindo	i m p ɨ l i ŋ d ʊ
impellir	i m p ɨ l i ɹ
impellirá	i m p ɨ l i ɾ a
impelliu	i m p ɨ l iʊ
impenetraveis	i m p ɨ n ɛ t ɹ ɐ v eɪ ʃ
impenetráveis	i m p ɨ n ɨ t ɹ a v eɪ ʃ
impenetrável	i m p ɨ n ɨ t ɹ a v ɛ l
impenitente	i m p ɨ n i t eɪ ŋ t ɨ
impenitentes	i m p ɨ n i t eɪ ŋ t ɨ ʃ
impensados	i m p eɪ ŋ s a d ʊ ʃ
impera	i m p ɛ ɾ ɐ
imperador	i m p ɨ ɾ ɐ d o ɹ
imperadores	i m p ɨ ɾ ɐ d o ɾ ɨ ʃ
imperam	i m p ɛ ɾ ɐ̃ʊ̃
imperando	i m p ɨ ɾ ɐ̃ ŋ d ʊ
imperativa	i m p ɨ ɾ ɐ t i v ɐ
imperativamente	i m p ɨ ɾ ɐ t i v ɐ m eɪ ŋ t ɨ
imperativos	i m p ɨ ɾ ɐ t i v ʊ ʃ
imperatriz	i m p ɨ ɾ ɐ t ɹ i ʃ
imperava	i m p ɨ ɾ a v ɐ
imperceptiveis	i m p ɨ ɾ ə s e p t i v eɪ ʃ
imperceptivel	i m p ɨ ɾ ə s ɨ p t i v ɛ l
imperceptivelmente	i m p ɨ ɾ ə s e p t i v ɨ l m eɪ ŋ t ɨ
imperceptíveis	i m p ɨ ɾ ə s ɨ p t i v eɪ ʃ
imperceptível	i m p ɨ ɾ ə s ɨ p t i v ɛ l
imperdoavel	i m p ɨ ɾ ə d u a v ɛ l
imperecedores	i m p ɨ ɾ e s ɨ d o ɾ ɨ ʃ
imperecivel	i m p ɨ ɾ ɨ s i v ɛ l
imperecíveis	i m p ɨ ɾ ɨ s i v eɪ ʃ
imperecível	i m p ɨ ɾ ɨ s i v ɛ l
imperfeita	i m p ɨ ɾ ə f eɪ t ɐ
imperfeitamente	i m p ɨ ɾ ə f eɪ t ɐ m eɪ ŋ t ɨ
imperfeitas	i m p ɨ ɾ ə f eɪ t ɐ ʃ
imperfeito	i m p ɨ ɾ ə f eɪ t ʊ
imperfeitos	i m p ɨ ɾ ə f eɪ t ʊ ʃ
imperfeição	i m p ɨ ɾ ə f eɪ s ɐ̃ʊ̃
imperfeições	i m p ɨ ɾ ə f eɪ s õ j ʃ
imperiais	i m p ɨ ɾ i aɪ ʃ
imperial	i m p ɨ ɾ i ɑ l
imperialismo	i m p ɨ ɾ i ɐ l i ʒ m ʊ
imperio	i m p ɨ ɾ iʊ
imperios	i m p ɨ ɾ iʊ ʃ
imperiosa	i m p ɨ ɾ i ɔ z ɐ
imperiosamente	i m p ɨ ɾ i u z ɐ m eɪ ŋ t ɨ
