'l	ɛ l l e
l'abborrita	l a bː o r ɾ i t a
l'abbozzo	l a bː ɔ tsː o
l'abbraccerei	l a bː r a tʃː e r ɛ i
l'abbraccerò	l a bː r a tʃː e ɾ ɔ
l'abbracci	l a bː r a tʃː ɪ
l'abbracciai	l a bː r a tʃː a j
l'abbracciarete	l a bː r a tʃː a r e t e
l'abbracciava	l a bː r a tʃː a v a
l'abbraccio	l a bː r a tʃː o
l'abbracciò	l a bː r a tʃː ɔ
l'abbreviatura	l a bː r e v j a t u r a
l'abbé	l a bː e
l'abilità	l a b i l i t a
l'abisso	l a b i ss o
l'abitar	l a b i t a r
l'abitato	l a b i t a t o
l'abitator	l a b i t a t ɔ r
l'abitavano	l a b i t a v a n o
l'abitazione	l a b i t a ts i o n e
l'abitino	l a b i t i n o
l'abito	l a b i t o
l'abituccio	l a b i t u tʃː o
l'abitudine	l a b i t u d i n e
l'abominazione	l a b o m i n a ts i o n e
l'abruzzo	l a b r u tsː o
l'abside	l a b s i d e
l'abuso	l a b u z o
l'ac	l a k
l'acacia	l a k a tʃ a
l'accademia	l a kː a d ɛ m i a
l'accaduto	l a kː a d u t o
l'accampamento	l a kː a m p a m e n t o
l'accanimento	l a kː a n i m e n t o
l'accappatojo	l a kː a pː a t o j o
l'accarezzava	l a kː a r e tsː a v a
l'accarezzavano	l a kː a r e tsː a v a n o
l'accarezzò	l a kː a r e tsː ɔ
l'accecava	l a tʃː e k a v a
l'accecavano	l a tʃː e k a v a n o
l'accecò	l a tʃː e k ɔ
l'accende	l a tʃː ɛ n d e
l'accendea	l a tʃː e n d ɛ a
l'accendessero	l a tʃː e n d e ss e r o
l'accendeva	l a tʃː e n d ɛ v a
l'accenno	l a tʃː e n n o
l'accento	l a tʃː ɛ n t o
l'accentramento	l a tʃː e n t r a m e n t o
l'accerchiarono	l a tʃː e r k j a r o n o
l'accertamento	l a tʃː e r t a m e n t o
l'accesa	l a tʃː e z a
l'accese	l a tʃː e z e
l'acceso	l a tʃː e z o
l'accesso	l a tʃː ɛ ss o
l'accetta	l a tʃː e tː a
l'accettare	l a tʃː e tː a r e
l'accettarono	l a tʃː e tː a r o n o
l'accetto	l a tʃː ɛ tː o
l'accettò	l a tʃː e tː ɔ
l'acchiappereste	l a kː j a pː e r ɛ s t e
l'acciaiuoli	l a tʃː a j ʊ ɔ l ɪ
l'acciajo	l a tʃː a j o
l'acciarino	l a tʃː a r i n o
l'acciaro	l a tʃː a r o
l'accidente	l a tʃː i d ɛ n t e
l'accidia	l a tʃː i d i a
l'acciottolato	l a tʃː o tː o l a t o
l'acciottolío	l a tʃː o tː o l i o
l'acciuffa	l a tʃː u f f a
l'acciuffo	l a tʃː u f f o
l'acciuga	l a tʃː u ɡ a
l'acciugata	l a tʃː ʊ ɡ a t a
l'acclamata	l a kː l a m a t a
l'accoglie	l a kː o ʎ e
l'accoglienza	l a kː o ʎ ɛ n ts a
l'accoglienze	l a kː o ʎ ɛ n ts e
l'accoglieva	l a kː o ʎ ɛ v a
l'accolga	l a kː o l ɡ a
l'accollo	l a kː ɔ l l o
l'accolse	l a kː o l s e
l'accolto	l a kː ɔ l t o
l'accomiatò	l a kː o m j a t ɔ
l'accomoderemo	l a kː o m o d e r ɛ m o
l'accompagna	l a kː o m p a ɲ ɲ a
l'accompagnamento	l a kː o m p a ɲ a m e n t o
l'accompagnarono	l a kː o m p a ɲ a r o n o
l'accompagnatrice	l a kː o m p a ɲ a t r i tʃ e
l'accompagnava	l a kː o m p a ɲ a v a
l'accompagnavano	l a kː o m p a ɲ a v a n o
l'accompagnavo	l a kː o m p a ɲ a v o
l'accompagni	l a kː o m p a ɲ ɲ ɪ
l'accompagno	l a kː o m p a ɲ ɲ o
l'accompagnorono	l a kː o m p a ɲ ɔ r o n o
l'accompagnò	l a kː o m p a ɲ ɲ ɔ
l'acconciatura	l a kː o n tʃ a t u r a
l'accondiscendenza	l a kː o n d i ʃ e n d ɛ n ts a
l'accoppassero	l a kː o pː a ss e r o
l'accoppio	l a kː o pː i o
l'accora	l a kː ɔ r a
l'accoramento	l a kː o r a m e n t o
l'accoratojo	l a kː o r a t o j o
l'accordargli	l a kː o r d a r ʎ ɪ
l'accordo	l a kː ɔ r d o
l'accorger	l a kː o r dʒ ɛ r
l'accorgersi	l a kː ɔ r dʒ e r s ɪ
l'accorgimento	l a kː o r dʒ i m e n t o
l'accorrere	l a kː ɔ r ɾ e r e
l'accorte	l a kː ɔ r t e
l'accortezza	l a kː o r t e tsː a
l'accorto	l a kː ɔ r t o
l'accostò	l a kː o s t ɔ
l'accurata	l a kː ʊ r a t a
l'accusa	l a kː u z a
l'accusato	l a kː ʊ z a t o
l'accusatore	l a kː ʊ z a t o r e
l'accusava	l a kː ʊ z a v a
l'acerba	l a tʃ ɛ r b a
l'acerbo	l a tʃ ɛ r b o
l'aceto	l a tʃ e t o
l'acino	l a tʃ i n o
l'aco	l a k o
l'acqua	l a kː w a
l'acquasanta	l a kː w a z a n t a
l'acquatico	l a kː w a t i k o
l'acquazzone	l a kː w a tsː o n e
l'acque	l a kː w e
l'acquisto	l a kː w i s t o
l'acquolina	l a kː w o l i n a
l'acre	l a k r e
l'acume	l a k u m e
l'acuta	l a k u t a
l'acuto	l a k u t o
l'ada	l a d a
l'adagiarmi	l a d a dʒ a r m ɪ
l'adagiò	l a d a dʒ ɔ
l'addietro	l a dː j ɛ t r o
l'addimandasse	l a dː i m a n d a ss e
l'addimandorono	l a dː i m a n d ɔ r o n o
l'addimandò	l a dː i m a n d ɔ
l'addio	l a dː i o
l'addizione	l a dː i ts i o n e
l'addobbo	l a dː ɔ bː o
l'addolorata	l a dː o l o r a t a
l'addolori	l a dː o l o r ɪ
l'addome	l a dː ɔ m e
l'addormentata	l a dː o r m e n t a t a
l'addormentava	l a dː o r m e n t a v a
l'adduce	l a dː u tʃ e
l'adelina	l a d e l i n a
l'adesione	l a d e z i o n e
l'adice	l a d i tʃ e
l'adolescente	l a d o l e ʃ ɛ n t e
l'adombra	l a d o m b r a
l'adone	l a d o n e
l'adora	l a d ɔ r a
l'adorata	l a d o r a t a
l'adoro	l a d ɔ r o
l'adorò	l a d o ɾ ɔ
l'adozione	l a d o ts i o n e
l'aduggiava	l a d ʊ dʒː a v a
l'adultero	l a d ʊ l t ɛ r o
l'adunanza	l a d ʊ n a n ts a
l'adunco	l a d u n k o
l'adversaria	l a d v e r s a r i a
l'aer	l a ɛ r
l'aere	l a ɛ r e
l'affannata	l a f f a n n a t a
l'affanno	l a f f a n n o
l'affare	l a f f a r e
l'affermazione	l a f f e r m a ts i o n e
l'afferra	l a f f ɛ r ɾ a
l'afferrarsi	l a f f e r ɾ a r s ɪ
l'afferrava	l a f f e r ɾ a v a
l'afferro	l a f f ɛ r ɾ o
l'afferrò	l a f f e r ɾ ɔ
l'affetta	l a f f ɛ tː a
l'affetto	l a f f ɛ tː o
l'affettuoso	l a f f e tː ʊ o z o
l'affezion	l a f f ɛ ts j o n
l'affezione	l a f f e ts i o n e
l'affitto	l a f f i tː o
l'affittuario	l a f f i tː ʊ a r i o
l'affliggente	l a f f l i dʒː ɛ n t e
l'afflitto	l a f f l i tː o
l'afflizione	l a f f l i ts i o n e
l'affoca	l a f f ɔ k a
l'affocato	l a f f o k a t o
l'affogava	l a f f o ɡ a v a
l'affollamento	l a f f o l l a m e n t o
l'affollar	l a f f o l l a r
l'affondi	l a f f o n d ɪ
l'affreni	l a f f r ɛ n ɪ
l'affresco	l a f f r e s k o
l'affrettato	l a f f r e tː a t o
l'affronto	l a f f r o n t o
l'africa	l a f r i k a
l'afrore	l a f r o r e
l'agevolero	l a dʒ e v o l ɛ r o
l'aggio	l a dʒː o
l'aggiungo	l a dʒː u ŋ ɡ o
l'aggiunta	l a dʒː u n t a
l'aggiustascarpe	l a dʒː ʊ s t a s k a r p e
l'aggiusteremo	l a dʒː ʊ s t e r ɛ m o
l'aggiusterò	l a dʒː ʊ s t e ɾ ɔ
l'aggiusto	l a dʒː u s t o
l'aggravante	l a ɡː r a v a n t e
l'aggravava	l a ɡː r a v a v a
l'aggrave	l a ɡː r a v e
l'aggressione	l a ɡː r e ss j o n e
l'agguantava	l a ɡː ʊ a n t a v a
l'agguato	l a ɡː ʊ a t o
l'agiatezza	l a dʒ a t e tsː a
l'agile	l a dʒ i l e
l'agilità	l a dʒ i l i t a
l'agitarsi	l a dʒ i t a r s ɪ
l'agitato	l a dʒ i t a t o
l'agitazione	l a dʒ i t a ts i o n e
l'aglio	l a ʎ o
l'agnel	l a ɲ e l
l'agnello	l a ɲ ɛ l l o
l'ago	l a ɡ o
l'agonia	l a ɡ o n i a
l'agosto	l a ɡ o s t o
l'agra	l a ɡ r a
l'agricola	l a ɡ r i k o l a
l'agricoltura	l a ɡ r i k o l t u r a
l'agro	l a ɡ r o
l'agronomia	l a ɡ r o n o m i a
l'aguglia	l a ɡ u ʎ a
l'aguglie	l a ɡ u ʎ e
l'aguta	l a ɡ u t a
l'agute	l a ɡ u t e
l'aia	l a i a
l'aire	l aɪ r e
l'aitezza	l aɪ t e tsː a
l'aitr	l aɪ t r
l'aiuola	l a j ʊ ɔ l a
l'aiuole	l a j ʊ ɔ l e
l'aiuta	l a j u t a
l'aiutano	l a j u t a n o
l'aiutarono	l a j ʊ t a r o n o
l'aiutasse	l a j ʊ t a ss e
l'aiutassero	l a j ʊ t a ss e r o
l'aiutava	l a j ʊ t a v a
l'aiuteremo	l a j ʊ t e r ɛ m o
l'aiuterò	l a j ʊ t e ɾ ɔ
l'aiuti	l a j u t ɪ
l'aiuto	l a j u t o
l'aiutò	l a j ʊ t ɔ
l'aja	l a j a
l'ajutasse	l a j ʊ t a ss e
l'ajuto	l a j u t o
l'ala	l a l a
l'alacrità	l a l a k r i t a
l'alba	l a l b a
l'alber	l a l b e r
l'alberatura	l a l b e r a t u r a
l'alberello	l a l b e r ɛ l l o
l'albergatore	l a l b e r ɡ a t o r e
l'albergo	l a l b ɛ r ɡ o
l'albero	l a l b e r o
l'albo	l a l b o
l'albor	l a l b ɔ r
l'album	l a l b ʊ m
l'albïon	l a l b j o n
l'alchimia	l a l k i m i a
l'alcool	l a l k oː l
l'ale	l a l e
l'aleggiava	l a l e dʒː a v a
l'alessandro	l a l e ss a n d r o
l'alfabeto	l a l f a b ɛ t o
l'ali	l a l ɪ
l'aliare	l a l i a r e
l'alighieri	l a l i ɡ i ɛ r ɪ
l'alimento	l a l i m e n t o
l'alito	l a l i t o
l'allarmante	l a l l a r m a n t e
l'allarme	l a l l a r m e
l'alleanza	l a l l e a n ts a
l'allegrezza	l a l l e ɡ r e tsː a
l'allegrezze	l a l l e ɡ r e tsː e
l'allegria	l a l l e ɡ r i a
l'allegro	l a l l e ɡ r o
l'alletta	l a l l e tː a
l'allettamento	l a l l e tː a m e n t o
l'allodola	l a l l ɔ d o l a
l'alloggio	l a l l ɔ dʒː o
l'allontanamento	l a l l o n t a n a m e n t o
l'allontanava	l a l l o n t a n a v a
l'allor	l a l l ɔ r
l'allume	l a l l u m e
l'allusione	l a l l ʊ z i o n e
l'alma	l a l m a
l'almanacco	l a l m a n a kː o
l'alme	l a l m e
l'alpe	l a l p e
l'alpenstock	l a l p e n s t o kː
l'alpestre	l a l p ɛ s t r e
l'alpestro	l a l p ɛ s t r o
l'alpha	l a l f a
l'alpi	l a l p ɪ
l'alpina	l a l p i n a
l'alta	l a l t a
l'altar	l a l t a r
l'altare	l a l t a r e
l'alte	l a l t e
l'alterazione	l a l t e r a ts i o n e
l'alterigia	l a l t e r iː dʒ a
l'altero	l a l t e r o
l'alterosa	l a l t e r o z a
l'altezza	l a l t e tsː a
l'altipiano	l a l t i p j a n o
l'altissimo	l a l t i ss i m o
l'alto	l a l t o
l'altr'anima	l a l t r a n i m a
l'altr'arco	l a l t r a r k o
l'altr'era	l a l t r ɛ r a
l'altr'eran	l a l t r ɛ r a n
l'altr'ier	l a l t r j ɛ r
l'altr'opre	l a l t r ɔ p r e
l'altr'è	l a l t r
l'altra	l a l t r a
l'altre	l a l t r e
l'altri	l a l t r ɪ
l'altrier	l a l t r i ɛ r
l'altrieri	l a l t r i ɛ r ɪ
l'altro	l a l t r o
l'altrui	l a l t r u i
l'altura	l a l t u r a
l'alunno	l a l u n n o
l'alvernia	l a l v ɛ r n i a
l'alzaja	l a l ts a j a
l'alzarono	l a l ts a r o n o
l'alzata	l a l ts a t a
l'alìa	l a l i a
l'alòsi	l a l ɔ z ɪ
l'ama	l a m a
l'amabile	l a m a b i l e
l'amai	l a m a j
l'amano	l a m a n o
l'amante	l a m a n t e
l'amar	l a m a r
l'amara	l a m a ɾ a
l'amarezza	l a m a r e tsː a
l'amaro	l a m a r o
l'amasse	l a m a ss e
l'amassero	l a m a ss e r o
l'amata	l a m a t a
l'amate	l a m a t e
l'amatissima	l a m a t i ss i m a
l'amato	l a m a t o
l'amava	l a m a v a
l'ambascia	l a m b a ʃ a
l'ambasciata	l a m b a ʃ a t a
l'ambasciatore	l a m b a ʃ a t o r e
l'ambiente	l a m b i ɛ n t e
l'ambizione	l a m b i ts i o n e
l'ambiziosa	l a m b i ts j ɔ z a
l'ambizïon	l a m b i ts j o n
l'ambra	l a m b r a
l'ambrosia	l a m b r ɔ z i a
l'ameno	l a m ɛ n o
l'amerebbe	l a m e r ɛ bː e
l'america	l a m ɛ r i k a
l'americano	l a m e r i k a n o
l'amerà	l a m e ɾ a
l'ami	l a m ɪ
l'amica	l a m i k a
l'amichevole	l a m i k e v o l e
l'amicizia	l a m i tʃ i ts i a
l'amico	l a m i k o
l'amistade	l a m i s t a d e
l'amistà	l a m i s t a
l'ammaestrarono	l a m m a e s t r a r o n o
l'ammaestrò	l a m m a e s t r ɔ
l'ammainò	l a m m aɪ n ɔ
l'ammalata	l a m m a l a t a
l'ammassi	l a m m a ss ɪ
l'ammattadore	l a m m a tː a d o r e
l'ammattonato	l a m m a tː o n a t o
l'ammazza	l a m m a tsː a
l'ammazzamento	l a m m a tsː a m e n t o
l'ammazzan	l a m m a tsː a n
l'ammazzavano	l a m m a tsː a v a n o
l'ammazzeranno	l a m m a tsː e r a n n o
l'ammazzo	l a m m a tsː o
l'ammazzr	l a m m a ts ts r
l'amministratore	l a m m i n i s t r a t o r e
l'amministrazione	l a m m i n i s t r a ts i o n e
l'ammiravano	l a m m i r a v a n o
l'ammiravo	l a m m i r a v o
l'ammirazione	l a m m i r a ts i o n e
l'ammirerai	l a m m i r e r aː ɪ
l'ammirerò	l a m m i r e ɾ ɔ
l'ammogliato	l a m m o ʎ a t o
l'ammonimento	l a m m o n i m e n t o
l'amo	l a m o
l'amor	l a m o r
l'amore	l a m o r e
l'amorevole	l a m o r e v o l e
l'amorevolezza	l a m o r e v o l e tsː a
l'amorosa	l a m o r o z a
l'amorose	l a m o r o z e
l'amoroso	l a m o r o z o
l'ampia	l a m p i a
l'ampie	l a m p j e
l'ampiezza	l a m p j e tsː a
l'ampio	l a m p i o
l'amplesso	l a m p l ɛ ss o
l'ampolla	l a m p o l l a
l'ampolliera	l a m p o l l i ɛ r a
l'amuleto	l a m ʊ l ɛ t o
l'analfabetismo	l a n a l f a b e t i z m o
l'ananasso	l a n a n a ss o
l'ancella	l a n tʃ ɛ l l a
l'anche	l a n k e
l'anchore	l a n tʃ o r e
l'ancora	l a n k o r a
l'andai	l a n d a j
l'andar	l a n d a r
l'andare	l a n d a r e
l'andarmi	l a n d a r m ɪ
l'andata	l a n d a t a
l'andate	l a n d a t e
l'andatura	l a n d a t u r a
l'andava	l a n d a v a
l'andito	l a n d i t o
l'androne	l a n d r o n e
l'andò	l a n d ɔ
l'aneddoto	l a n ɛ dː o t o
l'anelito	l a n ɛ l i t o
l'anella	l a n ɛ l l a
l'anellino	l a n e l l i n o
l'anello	l a n ɛ l l o
l'anemia	l a n e m i a
l'angel	l a n dʒ e l
l'angelica	l a n dʒ ɛ l i k a
l'angeliche	l a n dʒ ɛ l i k e
l'angelico	l a n dʒ ɛ l i k o
l'angelo	l a n dʒ e l o
l'angelus	l a n dʒ ɛ l ʊ s
l'angherie	l a ŋ ɡ e r i e
l'angioletto	l a n dʒ o l e tː o
l'angiolina	l a n dʒ o l i n a
l'angiolo	l a n dʒ ɔ l o
l'angol	l a ŋ ɡ o l
l'angolo	l a ŋ ɡ o l o
l'angosce	l a ŋ ɡ o ʃ e
l'angoscia	l a n ɡ ɔ ʃ a
l'angue	l a ŋ ɡ w e
l'anguilla	l a ŋ ɡ w i l l a
l'anguille	l a ŋ ɡ w i l l e
l'anguinaia	l a ŋ ɡ w i n a i a
l'angusta	l a ŋ ɡ u s t a
l'angustia	l a ŋ ɡ ʊ s t i a
l'anice	l a n i tʃ e
l'anilina	l a n i l i n a
l'anima	l a n i m a
l'animai	l a n i m a j
l'animal	l a n i m a l
l'animale	l a n i m a l e
l'animaluccia	l a n i m a l u tʃː a
l'anime	l a n i m e
l'animo	l a n i m o
l'animosa	l a n i m o z a
l'animose	l a n i m o z e
l'animuccia	l a n i m u tʃː a
l'anitra	l a n i t r a
l'annaffiatoio	l a n n a f f j a t o j o
l'annaspìo	l a n n a s p i o
l'annata	l a n n a t a
l'anniversario	l a n n i v e r s a r i o
l'anno	l a n n o
l'annoiò	l a n n o i ɔ
l'annullàr	l a n n ʊ l l a r
l'annunzio	l a n n u n ts i o
l'ansatti	l a n s a tː ɪ
l'ansia	l a n s i a
l'ansietà	l a n s j e t a
l'ansito	l a n s i t o
l'antecedente	l a n t e tʃ e d ɛ n t e
l'antenna	l a n t e n n a
l'antenora	l a n t e n ɔ r a
l'antica	l a n t i k a
l'anticamera	l a n t i k a m e r a
l'antiche	l a n t i k e
l'antichità	l a n t i k i t a
l'anticho	l a n t i tʃ o
l'anticipazione	l a n t i tʃ i p a ts i o n e
l'antico	l a n t i k o
l'antifona	l a n t i f o n a
l'antipatia	l a n t i p a t i a
l'antiquissimo	l a n t i k w i ss i m o
l'antiquo	l a n t i k w o
l'antisepsi	l a n t i z e p s ɪ
l'antiveder	l a n t i v e d ɛ r
l'aonio	l a ɔ n i o
l'aperse	l a p ɛ r s e
l'aperta	l a p ɛ r t a
l'aperto	l a p ɛ r t o
l'apertura	l a p e r t u r a
l'api	l a p ɪ
l'appago	l a pː a ɡ o
l'appaltatore	l a pː a l t a t o r e
l'appalto	l a pː a l t o
l'appannarsi	l a pː a n n a r s ɪ
l'appannatura	l a pː a n n a t u r a
l'apparato	l a pː a ɾ a t o
l'apparecchio	l a pː a r e kː i o
l'apparenza	l a pː a r ɛ n ts a
l'apparimento	l a pː a r i m e n t o
l'apparir	l a pː a r i r
l'apparizione	l a pː a r i ts i o n e
l'apparo	l a pː a r o
l'appassito	l a pː a ss i t o
l'appellar	l a pː e l l a r
l'appello	l a pː ɛ l l o
l'appenderanno	l a pː e n d e r a n n o
l'appendeva	l a pː e n d ɛ v a
l'appennino	l a pː e n n i n o
l'appetito	l a pː e t i t o
l'appia	l a pː i a
l'appiccicatura	l a pː i tʃː i k a t u r a
l'appigionasi	l a pː i dʒ o n a z ɪ
l'appiglio	l a pː i ʎ o
l'appisolarsi	l a pː i z o l a r s ɪ
l'appisolata	l a pː i z o l a t a
l'applauso	l a pː l a ʊ z o
l'applicazione	l a pː l i k a ts i o n e
l'appoggio	l a pː ɔ dʒː o
l'appoggiò	l a pː o dʒː ɔ
l'appostato	l a pː o s t a t o
l'appostolico	l a pː o s t ɔ l i k o
l'apprensione	l a pː r e n s j o n e
l'appressar	l a pː r e ss a r
l'apprezzava	l a pː r e tsː a v a
l'approvano	l a pː r o v a n o
l'approvazione	l a pː r o v a ts i o n e
l'approveranno	l a pː r o v e r a n n o
l'appuntino	l a pː ʊ n t i n o
l'appunto	l a pː u n t o
l'apria	l a p r i a
l'aprico	l a p r i k o
l'aprile	l a p r i l e
l'aprirai	l a p r i r aː ɪ
l'apro	l a p r o
l'aprì	l a p r i
l'aprí	l a p r i
l'aquila	l a k w i l a
l'aquilotto	l a k w i l ɔ tː o
l'ar	l a r
l'arabo	l a ɾ a b o
l'arancia	l a ɾ a n tʃ a
l'arancione	l a ɾ a n tʃ o n e
l'aratro	l a ɾ a t r o
l'aratura	l a ɾ a t u r a
l'arbia	l a r b i a
l'arbitrio	l a r b i t r i o
l'arbore	l a r b o r e
l'arboscel	l a r b o ʃ e l
l'arca	l a r k a
l'arcana	l a r k a n a
l'arcangelo	l a r k a n dʒ e l o
l'arcangiolo	l a r k a n dʒ ɔ l o
l'arcano	l a r k a n o
l'arcata	l a r k a t a
l'arche	l a r k e
l'archeolitica	l a r k e o l i t i k a
l'archian	l a r k j a n
l'archiano	l a r k i a n o
l'architetto	l a r k i t e tː o
l'architettura	l a r k i t e tː u r a
l'arciconfraternita	l a r tʃ i k o n f r a t ɛ r n i t a
l'arcigna	l a r tʃ i ɲ ɲ a
l'arcipelago	l a r tʃ i p ɛ l a ɡ o
l'arciprete	l a r tʃ i p r e t e
l'arcivescovo	l a r tʃ i v e s k o v o
l'arco	l a r k o
l'arcobaleno	l a r k o b a l e n o
l'arcolaio	l a r k o l a i o
l'arcuccio	l a r k u tʃː o
l'ardelli	l a r d ɛ l l ɪ
l'ardente	l a r d ɛ n t e
l'ardimento	l a r d i m e n t o
l'ardire	l a r d i r e
l'ardiscon	l a r d i s k o n
l'ardita	l a r d i t a
l'ardite	l a r d i t e
l'ardor	l a r d ɔ r
l'ardore	l a r d o r e
l'ardua	l a r d ʊ a
l'ardue	l a r d ʊ e
l'arduo	l a r d ʊ o
l'arena	l a r e n a
l'arene	l a r e n e
l'arenoso	l a r e n o z o
l'areopago	l a r e o p a ɡ o
l'aretin	l a r ɛ t i n
l'aretina	l a r e t i n a
l'aretino	l a r e t i n o
l'argano	l a r ɡ a n o
l'argentina	l a r dʒ e n t i n a
l'argento	l a r dʒ ɛ n t o
l'argia	l a r dʒ i a
l'argine	l a r dʒ i n e
l'argomentar	l a r ɡ o m e n t a r
l'argomento	l a r ɡ o m e n t o
l'argonauta	l a r ɡ o n a ʊ t a
l'argot	l a r ɡ o t
l'arguta	l a r ɡ u t a
l'arguto	l a r ɡ u t o
l'arguzia	l a r ɡ u ts i a
l'aria	l a r i a
l'aricò	l a r i k ɔ
l'aride	l a r i d e
l'arido	l a r i d o
l'aringo	l a r i ŋ ɡ o
l'ariosto	l a r i ɔ s t o
l'aristocratico	l a r i s t o k r a t i k o
l'aritmetica	l a r i t m ɛ t i k a
l'arlecchino	l a r l e kː i n o
l'arma	l a r m a
l'armada	l a r m a d a
l'armadietto	l a r m a d j e tː o
l'armadio	l a r m a d i o
l'armaio	l a r m a i o
l'armamentario	l a r m a m e n t a r i o
l'armatura	l a r m a t u r a
l'arme	l a r m e
l'armeggio	l a r m e dʒː o
l'armeno	l a r m ɛ n o
l'armento	l a r m e n t o
l'armi	l a r m ɪ
l'armonia	l a r m o n i a
l'armonica	l a r m ɔ n i k a
l'arnese	l a r n e z e
l'arnie	l a r n j e
l'arno	l a r n o
l'aroma	l a r ɔ m a
l'arpa	l a r p a
l'arrabbiate	l a r ɾ a bː j a t e
l'arraffa	l a r ɾ a f f a
l'arrebbe	l a r ɾ ɛ bː e
l'arredamento	l a r ɾ e d a m e n t o
l'arredo	l a r ɾ ɛ d o
l'arrei	l a r ɾ ɛ i
l'arresto	l a r ɾ ɛ s t o
l'arrestò	l a r ɾ e s t ɔ
l'arringa	l a r ɾ i ŋ ɡ a
l'arrivo	l a r ɾ i v o
l'arrosto	l a r ɾ ɔ s t o
l'arrotonda	l a r ɾ o t o n d a
l'arrovella	l a r ɾ o v ɛ l l a
l'arsenale	l a r s e n a l e
l'arso	l a r s o
l'arsura	l a r s u r a
l'arte	l a r t e
l'artefice	l a r t ɛ f i tʃ e
l'arteria	l a r t ɛ r i a
l'arti	l a r t ɪ
l'articolo	l a r t i k o l o
l'articular	l a r t i k ʊ l a r
l'artificiale	l a r t i f i tʃ a l e
l'artificio	l a r t i f i tʃ o
l'artigian	l a r t i dʒ a n
l'artigiano	l a r t i dʒ a n o
l'artiglieria	l a r t i ʎ e r i a
l'artiglio	l a r t i ʎ o
l'artista	l a r t i s t a
l'asbergo	l a z b ɛ r ɡ o
l'ascella	l a ʃ ɛ l l a
l'ascelle	l a ʃ ɛ l l e
l'ascensi	l a ʃ ɛ n s ɪ
l'ascensione	l a ʃ e n s j o n e
l'ascensore	l a ʃ e n s o r e
l'ascesa	l a ʃ e z a
l'asciani	l a ʃ a n ɪ
l'asciugamani	l a ʃ ʊ ɡ a m a n ɪ
l'asciugamano	l a ʃ ʊ ɡ a m a n o
l'ascolta	l a s k o l t a
l'ascoltar	l a s k o l t a r
l'ascoltarono	l a s k o l t a r o n o
l'ascoltasse	l a s k o l t a ss e
l'ascoltava	l a s k o l t a v a
l'asfalto	l a s f a l t o
l'asia	l aː z j a
l'asilo	l a z i l o
l'asin	l a z i n
l'asina	l a z i n a
l'asinajo	l a z i n a j o
l'asinella	l a z i n ɛ l l a
l'asinello	l a z i n ɛ l l o
l'asino	l a z i n o
l'asma	l a z m a
l'aspectar	l a s p e k t a r
l'aspersorio	l a s p e r s ɔ r i o
l'aspetta	l a s p ɛ tː a
l'aspettano	l a s p e tː a n o
l'aspettare	l a s p e tː a r e
l'aspettasse	l a s p e tː a ss e
l'aspettate	l a s p e tː a t e
l'aspettato	l a s p e tː a t o
l'aspettava	l a s p e tː a v a
l'aspettavano	l a s p e tː a v a n o
l'aspettavo	l a s p e tː a v o
l'aspettazione	l a s p e tː a ts i o n e
l'aspetti	l a s p ɛ tː ɪ
l'aspettiamo	l a s p e tː j a m o
l'aspetto	l a s p ɛ tː o
l'aspirante	l a s p i r a n t e
l'aspirazione	l a s p i r a ts i o n e
l'aspra	l a s p r a
l'aspre	l a s p r e
l'asprezza	l a s p r e tsː a
l'aspro	l a s p r o
l'assaggia	l a ss a dʒː a
l'assalirono	l a ss a l i r o n o
l'assalivano	l a ss a l i v a n o
l'assaltarono	l a ss a l t a r o n o
l'assalto	l a ss a l t o
l'assanni	l a ss a n n ɪ
l'assanno	l a ss a n n o
l'assassin	l a ss a ss i n
l'assassinio	l a ss a ss i n i o
l'assassino	l a ss a ss i n o
l'asse	l a ss e
l'assedio	l a ss ɛ d i o
l'assegnamento	l a ss e ɲ a m e n t o
l'assegno	l a ss e ɲ ɲ o
l'assemblea	l a ss e m b l ɛ a
l'assenso	l a ss ɛ n s o
l'assente	l a ss ɛ n t e
l'assenza	l a ss ɛ n ts a
l'assenzio	l a ss ɛ n ts i o
l'asserzione	l a ss e r ts i o n e
l'assessore	l a ss e ss o r e
l'assetate	l a ss e t a t e
l'assetato	l a ss e t a t o
l'asseveranza	l a ss e v e r a n ts a
l'assicella	l a ss i tʃ ɛ l l a
l'assicurazione	l a ss i k ʊ r a ts i o n e
l'assicuro	l a ss i k u r o
l'assidua	l a ss i d ʊ a
l'assillo	l a ss i l l o
l'assistente	l a ss i s t ɛ n t e
l'assistenza	l a ss i s t ɛ n ts a
l'assistevano	l a ss i s t e v a n o
l'assito	l a ss i t o
l'associazione	l a ss o tʃ a ts i o n e
l'assoluto	l a ss o l u t o
l'assoluzione	l a ss o l ʊ ts i o n e
l'assommoir	l a ss o m m ɔ i r
l'assonnar	l a ss o n n a r
l'assumma	l a ss u m m a
l'assumo	l a ss u m o
l'assunzione	l a ss ʊ n ts i o n e
l'asta	l a s t a
l'astio	l a s t i o
l'astro	l a s t r o
l'astrologia	l a s t r o l o dʒ i a
l'astrologo	l a s t r ɔ l o ɡ o
l'astronomo	l a s t r ɔ n o m o
l'astuccio	l a s t u tʃː o
l'astuta	l a s t u t a
l'astuto	l a s t u t o
l'astuzia	l a s t u ts i a
l'astuzie	l a s t u ts j e
l'ateo	l a t e o
l'atlantico	l a t l a n t i k o
