а	ɑ
одинок	ʌ dʲ i n o k
одинока	ʌ dʲ i n o k a
одинокая	ʌ dʲ i n o k ʌ ja
одиноки	ʌ dʲ i n o kʲ ɪ
одинокие	ʌ dʲ i n o kʲ i j ɪ
одинокий	ʌ dʲ i n o kʲ i j
одиноким	ʌ dʲ i n o kʲ i m
одинокими	ʌ dʲ i n o kʲ i mʲ ɪ
одиноких	ʌ dʲ i n o kʲ i x
одиноко	ʌ dʲ i n o k ʌ
одинокого	ʌ dʲ i n o k ʌ v ʌ
одинокой	ʌ dʲ i n o k ʌ j
одинокую	ʌ dʲ i n o k u ju
одиночек	ʌ dʲ i n o tʃʲ i k
одиночества	ʌ dʲ i n o tʃʲ i s t v a
одиночестве	ʌ dʲ i n o tʃʲ i s t vʲ i
одиночество	ʌ dʲ i n o tʃʲ i s t v ʌ
одиночеством	ʌ dʲ i n o tʃʲ i s t v ʌ m
одиночка	ʌ dʲ i n o tʃʲ k a
одиночки	ʌ dʲ i n o tʃʲ kʲ ɪ
одиночку	ʌ dʲ i n o tʃʲ k u
одиночных	ʌ dʲ i n o tʃʲ n y x
одиссей	ʌ dʲ i sʲ sʲ e j
одичала	ʌ dʲ i tʃʲ ɑ ɭ a
одичалая	ʌ dʲ i tʃʲ ɑ ɭ ʌ ja
одичалой	ʌ dʲ i tʃʲ ɑ ɭ ʌ j
одичалую	ʌ dʲ i tʃʲ ɑ ɭ u ju
одичалыми	ʌ dʲ i tʃʲ ɑ ɭ y mʲ ɪ
одичать	ʌ dʲ i tʃʲ ɑ tʲ
одичают	ʌ dʲ i tʃʲ ɑ ju t
одна	ʌ d n ɑ
однажды	ʌ d n ɑ ʒ d y
однако	ʌ d n ɑ k ʌ
однато	ʌ d n ɑ t ʌ
одне	o d nʲ i
однех	ʌ d nʲ e x
одни	ʌ d nʲ i
одним	ʌ d nʲ i m
одними	ʌ d nʲ i mʲ ɪ
одних	ʌ d nʲ i x
одно	ʌ d n o
одновременно	ʌ d n ʌ v rʲ i mʲ e n n ʌ
одного	ʌ d n ʌ v o
однозвучной	ʌ d n ʌ z v u ʃ n ʌ j
однозвучный	ʌ d n ʌ z v u tʃʲ n y j
одной	ʌ d n o j
однокашник	ʌ d n ʌ k ɑ ʃ nʲ i k
однокорытники	ʌ d n ʌ k o r y tʲ nʲ i kʲ ɪ
одном	ʌ d n o m
одному	ʌ d n ʌ m u
однообразен	ʌ d n ʌ ʌ b r ɑ ʑ i n
однообразие	ʌ d n ʌ ʌ b r ɑ ʑ i j ɪ
однообразий	ʌ d n ʌ o b r ʌ ʑ i j
однообразия	ʌ d n ʌ ʌ b r ɑ ʑ i ja
однообразна	ʌ d n ʌ ʌ b r ɑ z n a
однообразная	ʌ d n ʌ ʌ b r ɑ z n ʌ ja
однообразно	ʌ d n ʌ ʌ b r ɑ z n ʌ
однообразной	ʌ d n ʌ ʌ b r ɑ z n ʌ j
однообразнопечальный	ʌ d n ʌ ʌ b r ʌ z n ʌ pʲ e tʃʲ ʌ ɭ n y j
однообразность	ʌ d n ʌ ʌ b r ɑ z n ʌ s tʲ
однообразную	ʌ d n ʌ ʌ b r ɑ z n u ju
однообразны	ʌ d n ʌ ʌ b r ɑ z n y
однообразные	ʌ d n ʌ ʌ b r ɑ z n y j ɪ
однообразный	ʌ d n ʌ ʌ b r ɑ z n y j
однообразными	ʌ d n ʌ ʌ b r ɑ z n y mʲ ɪ
однообразных	ʌ d n ʌ ʌ b r ɑ z n y x
одноплеменникам	ʌ d n ʌ p ɭʲ i mʲ e n nʲ i k ʌ m
однородная	ʌ d n ʌ r o d n ʌ ja
однородно	ʌ d n o r ʌ d n ʌ
однородности	ʌ d n ʌ r o d n ʌ sʲ tʲ ɪ
однорукий	ʌ d n ʌ r u kʲ i j
односложными	ʌ d n ʌ s ɭ o ʒ n y mʲ ɪ
одностороннего	ʌ d n ʌ s t ʌ r o n nʲ i v ʌ
одностороннее	ʌ d n ʌ s t ʌ r o n nʲ i j ɪ
односторонним	ʌ d n ʌ s t ʌ r o n nʲ i m
односторонних	ʌ d n ʌ s t ʌ r o n nʲ i x
односторонности	ʌ d n ʌ s t ʌ r o n n ʌ sʲ tʲ ɪ
односторонность	ʌ d n ʌ s t ʌ r o n n ʌ s tʲ
односторонняя	ʌ d n ʌ s t ʌ r o n nʲ ʌ ja
однотонен	ʌ d n ʌ t o nʲ i n
одноцветность	ʌ d n ʌ ts vʲ e t n ʌ s tʲ
одноэтажная	ʌ d n ʌ ɛ t ɑ ʒ n ʌ ja
одною	ʌ d n o ju
одну	ʌ d n u
одобрение	ʌ d ʌ b rʲ e nʲ i j ɪ
одобрением	ʌ d ʌ b rʲ e nʲ i j i m
одобрении	ʌ d ʌ b rʲ e nʲ i ɪ
одобрения	ʌ d ʌ b rʲ e nʲ i ja
одобренные	ʌ d o b rʲ i n n y j ɪ
одобрил	ʌ d o b rʲ i ɭ
одобрительно	ʌ d ʌ b rʲ i tʲ i ɭ n ʌ
одобрительному	ʌ d ʌ b rʲ i tʲ i ɭ n ʌ m u
одобрительный	ʌ d ʌ b rʲ i tʲ i ɭ n y j
одобришь	ʌ d o b rʲ i ʃ
одобряет	ʌ d ʌ b rʲ ɑ j i t
одобряете	ʌ d ʌ b rʲ ɑ j i tʲ i
одобряй	ʌ d o b rʲ ʌ j
одобрял	ʌ d ʌ b rʲ ɑ ɭ
одобряли	ʌ d ʌ b rʲ ɑ ɭʲ ɪ
одолев	ʌ d ʌ ɭʲ e f
одолеваемый	ʌ d ʌ ɭʲ i v ɑ j i m y j
одолевает	ʌ d ʌ ɭʲ i v ɑ j i t
одолевал	ʌ d ʌ ɭʲ i v ɑ ɭ
одолевали	ʌ d ʌ ɭʲ i v ɑ ɭʲ ɪ
одолевать	ʌ d ʌ ɭʲ i v ɑ tʲ
одолевают	ʌ d ʌ ɭʲ i v ɑ ju t
одолевающий	ʌ d ʌ ɭʲ i v ɑ ju ɕ i j
одолевающую	ʌ d ʌ ɭʲ i v ɑ ju ɕ u ju
одолевая	ʌ d ʌ ɭʲ i v ɑ ja
одолеем	ʌ d ʌ ɭʲ e j i m
одолеет	ʌ d ʌ ɭʲ e j i t
одолеешь	ʌ d ʌ ɭʲ e j i ʃ
одолел	ʌ d ʌ ɭʲ e ɭ
одолела	ʌ d ʌ ɭʲ e ɭ a
одолеласанин	ʌ d ʌ ɭʲ i ɭ ɑ s ʌ nʲ i n
одолели	ʌ d ʌ ɭʲ e ɭʲ ɪ
одолело	ʌ d ʌ ɭʲ e ɭ ʌ
одолеть	ʌ d ʌ ɭʲ e tʲ
одолею	ʌ d ʌ ɭʲ e ju
одолжать	ʌ d ʌ ɭ ʒ ɑ tʲ
одолжаться	ʌ d o ɭ ʒ ʌ tʲ sʲ ʌ
одолжение	ʌ d ʌ ɭ ʒ ɛ nʲ i j ɪ
одолжением	ʌ d ʌ ɭ ʒ ɛ nʲ i j i m
одолжений	ʌ d ʌ ɭ ʒ ɛ nʲ i j
одолжения	ʌ d ʌ ɭ ʒ ɛ nʲ i ja
одолженье	ʌ d ʌ ɭ ʒ ɛ n j j ɪ
одолжил	ʌ d ʌ ɭ ʒ y ɭ
одолжила	ʌ d ʌ ɭ ʒ y ɭ a
одолжить	ʌ d ʌ ɭ ʒ y tʲ
одописца	ʌ d o pʲ i s ts a
одр	o d r
одра	ʌ d r ɑ
одре	ʌ d rʲ e
одру	ʌ d r u
одрях	o d rʲ ʌ x
одряхлевшие	ʌ d rʲ a x ɭʲ e f ʃ y j ɪ
одряхлел	ʌ d rʲ a x ɭʲ e ɭ
одуванчика	ʌ d u v ɑ n tʃʲ i k a
одуванчики	ʌ d u v ɑ n tʃʲ i kʲ ɪ
одульф	o d u ɭ f
одумаетесь	ʌ d u m ɑ j i tʲ i sʲ
одумаешься	ʌ d u m ɑ j i ʃ sʲ ʌ
одумайся	ʌ d u m ʌ j sʲ ʌ
одумался	ʌ d u m ʌ ɭ sʲ ʌ
одурел	ʌ d u rʲ e ɭ
одурелая	ʌ d u rʲ e ɭ ʌ ja
одурелыми	ʌ d u rʲ e ɭ y mʲ ɪ
одурения	ʌ d u rʲ e nʲ i ja
одури	o d u rʲ ɪ
одурманенный	ʌ d u r m ɑ nʲ i n n y j
одурманила	ʌ d u r m ɑ nʲ i ɭ a
одуряет	ʌ d u rʲ ɑ j i t
одухотворение	ʌ d u x ʌ t v ʌ rʲ e nʲ i j ɪ
одухотворенной	ʌ d u x ʌ t v ʌ rʲ e n n ʌ j
одухотворенностью	ʌ d u x ʌ t v ʌ rʲ e n n ʌ s tʲ j ju
одухотворенную	ʌ d u x ʌ t v o rʲ i n n u ju
одухотворенными	ʌ d u x ʌ t v ʌ rʲ e n n y mʲ ɪ
одухотворяющих	ʌ d u x ʌ t v ʌ rʲ ɑ ju ɕ i x
одушеви	ʌ d u ʃ y vʲ ɪ
одушевила	ʌ d u ʃ ɛ vʲ i ɭ a
одушевило	ʌ d u ʃ ɛ vʲ i ɭ ʌ
одушевись	ʌ d u ʃ ɛ vʲ i sʲ
одушевлен	ʌ d u ʃ y v ɭʲ e n
одушевление	ʌ d u ʃ y v ɭʲ e nʲ i j ɪ
одушевлением	ʌ d u ʃ y v ɭʲ e nʲ i j i m
одушевления	ʌ d u ʃ y v ɭʲ e nʲ i ja
одушевленно	ʌ d u ʃ ɛ v ɭʲ i n n ʌ
одушевленные	ʌ d u ʃ y v ɭʲ e n n y j ɪ
одушевленный	ʌ d u ʃ y v ɭʲ e n n y j
одушевлено	ʌ d u ʃ ɛ v ɭʲ i n ʌ
одушевлял	ʌ d u ʃ ɛ v ɭʲ ʌ ɭ
одушевляясь	ʌ d u ʃ y v ɭʲ ɑ ja sʲ
оды	o d y
одышка	ʌ d y ʃ k a
одышку	ʌ d y ʃ k u
ожерелий	ʌ ʒ y rʲ e ɭʲ i j
ожерелье	ʌ ʒ y rʲ e ɭ j j ɪ
ожерелья	ʌ ʒ y rʲ e ɭ j ja
ожесточается	ʌ ʒ y s t ʌ tʃʲ ɑ j i ts ʌ
ожесточался	ʌ ʒ y s t ʌ tʃʲ ɑ ɭ sʲ ʌ
ожесточающей	ʌ ʒ y s t ʌ tʃʲ ɑ ju ɕ i j
ожесточением	ʌ ʒ y s t ʌ tʃʲ e nʲ i j i m
ожесточения	ʌ ʒ y s t ʌ tʃʲ e nʲ i ja
ожесточеннее	ʌ ʒ y s t ʌ tʃʲ e n nʲ i j ɪ
ожесточенней	ʌ ʒ y s t o tʃʲ i n nʲ i j
ожесточенно	ʌ ʒ y s t ʌ tʃʲ e n n ʌ
ожесточенном	ʌ ʒ y s t ʌ tʃʲ e n n ʌ m
ожесточенною	ʌ ʒ y s t o tʃʲ i n n ʌ ju
ожесточенный	ʌ ʒ y s t ʌ tʃʲ e n n y j
ожесточенным	ʌ ʒ y s t ʌ tʃʲ e n n y m
ожесточенными	ʌ ʒ y s t ʌ tʃʲ e n n y mʲ ɪ
ожесточившееся	ʌ ʒ y s t ʌ tʃʲ i f ʃ y j i sʲ ʌ
ожесточилось	ʌ ʒ y s t ʌ tʃʲ i ɭ ʌ sʲ
ожешко	ʌ ʒ ɛ ʃ k ʌ
оживает	ʌ ʒ y v ɑ j i t
оживала	ʌ ʒ y v ɑ ɭ a
оживать	ʌ ʒ y v ɑ tʲ
оживая	ʌ ʒ y v ɑ ja
оживи	ʌ ʒ y vʲ i
оживил	ʌ ʒ y vʲ i ɭ
оживила	ʌ ʒ y vʲ i ɭ a
оживилась	ʌ ʒ y vʲ i ɭ ʌ sʲ
оживили	ʌ ʒ y vʲ i ɭʲ ɪ
оживились	ʌ ʒ y vʲ i ɭʲ i sʲ
оживилось	ʌ ʒ y vʲ i ɭ ʌ sʲ
оживился	ʌ ʒ y vʲ i ɭ sʲ ʌ
оживим	ʌ ʒ y vʲ i m
оживить	ʌ ʒ y vʲ i tʲ
оживиться	ʌ ʒ y vʲ i tʲ sʲ ʌ
оживлен	ʌ ʒ y v ɭʲ e n
оживлена	ʌ ʒ y v ɭʲ i n ɑ
оживление	ʌ ʒ y v ɭʲ e nʲ i j ɪ
оживлением	ʌ ʒ y v ɭʲ e nʲ i j i m
оживления	ʌ ʒ y v ɭʲ e nʲ i ja
оживленнее	ʌ ʒ y v ɭʲ e n nʲ i j ɪ
оживленно	ʌ ʒ y v ɭʲ e n n ʌ
оживленной	ʌ ʒ y v ɭʲ e n n ʌ j
оживленную	ʌ ʒ y v ɭʲ e n n u ju
оживленный	ʌ ʒ y v ɭʲ e n n y j
оживленным	ʌ ʒ y v ɭʲ e n n y m
оживлено	ʌ ʒ y v ɭʲ i n ʌ
оживлены	ʌ ʒ y v ɭʲ i n y
оживляемая	ʌ ʒ y v ɭʲ ɑ j i m ʌ ja
оживляет	ʌ ʒ y v ɭʲ ɑ j i t
оживлял	ʌ ʒ y v ɭʲ ɑ ɭ
оживляла	ʌ ʒ y v ɭʲ ɑ ɭ a
оживлялась	ʌ ʒ y v ɭʲ ɑ ɭ ʌ sʲ
оживляли	ʌ ʒ y v ɭʲ ɑ ɭʲ ɪ
оживлялись	ʌ ʒ y v ɭʲ ɑ ɭʲ i sʲ
оживлялось	ʌ ʒ y v ɭʲ ɑ ɭ ʌ sʲ
оживлялся	ʌ ʒ y v ɭʲ ɑ ɭ sʲ ʌ
оживляться	ʌ ʒ y v ɭʲ ɑ tʲ sʲ ʌ
оживляющий	ʌ ʒ y v ɭʲ ɑ ju ɕ i j
оживляясь	ʌ ʒ y v ɭʲ ɑ ja sʲ
оживу	ʌ ʒ y v u
ожидавшая	ʌ ʒ y d ɑ f ʃ ʌ ja
ожидавшие	ʌ ʒ y d ɑ f ʃ y j ɪ
ожидавший	ʌ ʒ y d ɑ f ʃ y j
ожидаемого	ʌ ʒ y d ɑ j i m ʌ v ʌ
ожидаемом	ʌ ʒ y d ɑ j i m ʌ m
ожидаемые	ʌ ʒ y d ɑ j i m y j ɪ
ожидаемый	ʌ ʒ y d ɑ j i m y j
ожидает	ʌ ʒ y d ɑ j i t
ожидается	ʌ ʒ y d ɑ j i ts ʌ
ожидаешь	ʌ ʒ y d ɑ j i ʃ
ожидал	ʌ ʒ y d ɑ ɭ
ожидала	ʌ ʒ y d ɑ ɭ a
ожидали	ʌ ʒ y d ɑ ɭʲ ɪ
ожидало	ʌ ʒ y d ɑ ɭ ʌ
ожидание	ʌ ʒ y d ɑ nʲ i j ɪ
ожиданием	ʌ ʒ y d ɑ nʲ i j i m
ожидании	ʌ ʒ y d ɑ nʲ i ɪ
ожиданий	ʌ ʒ y d ɑ nʲ i j
ожидания	ʌ ʒ y d ɑ nʲ i ja
ожиданье	ʌ ʒ y d ɑ n j j ɪ
ожиданьем	ʌ ʒ y d ɑ n j j i m
ожиданьи	ʌ ʒ y d ɑ n j ɪ
ожиданья	ʌ ʒ y d ɑ n j ja
ожидать	ʌ ʒ y d ɑ tʲ
ожидаю	ʌ ʒ y d ɑ ju
ожидают	ʌ ʒ y d ɑ ju t
ожидающей	ʌ ʒ y d ɑ ju ɕ i j
ожидающие	ʌ ʒ y d ɑ ju ɕ i j ɪ
ожидая	ʌ ʒ y d ɑ ja
ожил	o ʒ y ɭ
ожила	ʌ ʒ y ɭ ɑ
ожили	o ʒ y ɭʲ ɪ
ожило	o ʒ y ɭ ʌ
ожить	ʌ ʒ y tʲ
ожога	ʌ ʒ o ɡ a
озаботился	ʌ z a b o tʲ i ɭ sʲ ʌ
озабочен	ʌ z a b o tʃʲ i n
озабоченная	ʌ z a b o tʃʲ i n n ʌ ja
озабоченно	ʌ z a b o tʃʲ i n n ʌ
озабоченное	ʌ z a b o tʃʲ i n n ʌ j ɪ
озабоченной	ʌ z a b o tʃʲ i n n ʌ j
озабоченные	ʌ z a b o tʃʲ i n n y j ɪ
озабоченный	ʌ z a b o tʃʲ i n n y j
озабочено	ʌ z a b o tʃʲ i n ʌ
озабочены	ʌ z a b o tʃʲ i n y
озаглавил	ʌ z a ɡ ɭ ɑ vʲ i ɭ
озаглавленная	ʌ z a ɡ ɭ ɑ v ɭʲ i n n ʌ ja
озаглавливает	ʌ z ʌ ɡ ɭ a v ɭʲ i v ʌ j i t
озадачен	ʌ z a d ɑ tʃʲ i n
озадаченного	ʌ z a d ɑ tʃʲ i n n ʌ v ʌ
озадаченный	ʌ z a d ɑ tʃʲ i n n y j
озадачивал	ʌ z a d ɑ tʃʲ i v ʌ ɭ
озарен	ʌ z a rʲ e n
озарена	ʌ z ʌ rʲ i n ɑ
озарение	ʌ z a rʲ e nʲ i j ɪ
озарении	ʌ z a rʲ e nʲ i ɪ
озаренная	ʌ z a rʲ e n n ʌ ja
озаренный	ʌ z a rʲ e n n y j
озаренных	ʌ z a rʲ e n n y x
озарено	ʌ z ɑ rʲ i n ʌ
озарив	ʌ z a rʲ i f
озарившей	ʌ z a rʲ i f ʃ y j
озарил	ʌ z a rʲ i ɭ
озарила	ʌ z a rʲ i ɭ a
озарилась	ʌ z a rʲ i ɭ ʌ sʲ
озарило	ʌ z a rʲ i ɭ ʌ
озарилось	ʌ z a rʲ i ɭ ʌ sʲ
озарит	ʌ z a rʲ i t
озарить	ʌ z a rʲ i tʲ
озаряемая	ʌ z a rʲ ɑ j i m ʌ ja
озаряет	ʌ z a rʲ ɑ j i t
озаряется	ʌ z a rʲ ɑ j i ts ʌ
озарял	ʌ z a rʲ ɑ ɭ
озаряла	ʌ z a rʲ ɑ ɭ a
озарялось	ʌ z a rʲ ɑ ɭ ʌ sʲ
озарясь	ʌ z ɑ rʲ ʌ sʲ
оздоровить	ʌ z d ʌ r ʌ vʲ i tʲ
оздоровляет	ʌ z d ʌ r o v ɭʲ ʌ j i t
озер	ʌ ʑ e r
озера	ʌ ʑ e r a
озерами	ʌ ʑ e r ʌ mʲ ɪ
озерах	ʌ ʑ e r ʌ x
озере	o ʑ i rʲ i
озерной	ʌ ʑ e r n ʌ j
озерных	ʌ ʑ e r n y x
озеро	o ʑ i r ʌ
озеров	ʌ ʑ e r ʌ f
озером	o ʑ i r ʌ m
озеру	o ʑ i r u
озимая	ʌ ʑ i m ʌ ja
озими	o ʑ i mʲ ɪ
озимь	o ʑ i mʲ
озирает	ʌ ʑ i r ɑ j i t
озиралась	ʌ ʑ i r ɑ ɭ ʌ sʲ
озирался	ʌ ʑ i r ɑ ɭ sʲ ʌ
озирать	ʌ ʑ i r ɑ tʲ
озирают	ʌ ʑ i r ɑ ju t
озираючись	ʌ ʑ i r ɑ ju tʃʲ i sʲ
озирая	ʌ ʑ i r ɑ ja
озираясь	ʌ ʑ i r ɑ ja sʲ
озлобило	ʌ z ɭ o bʲ i ɭ ʌ
озлобился	ʌ z ɭ o bʲ i ɭ sʲ ʌ
озлоблен	ʌ z ɭ o b ɭʲ i n
озлобление	ʌ z ɭ ʌ b ɭʲ e nʲ i j ɪ
озлобленная	ʌ z ɭ o b ɭʲ i n n ʌ ja
озлобленно	ʌ z ɭ o b ɭʲ i n n ʌ
озлобленное	ʌ z ɭ ʌ b ɭʲ e n n ʌ j ɪ
озлобленной	ʌ z ɭ ʌ b ɭʲ e n n ʌ j
озлобленном	ʌ z ɭ ʌ b ɭʲ e n n ʌ m
озлобленному	ʌ z ɭ ʌ b ɭʲ e n n ʌ m u
озлобленность	ʌ z ɭ o b ɭʲ i n n ʌ s tʲ
озлобленным	ʌ z ɭ o b ɭʲ i n n y m
озлобленными	ʌ z ɭ ʌ b ɭʲ e n n y mʲ ɪ
озлоблены	ʌ z ɭ o b ɭʲ i n y
озлобленьем	ʌ z ɭ ʌ b ɭʲ e n j j i m
ознакомившись	ʌ z n a k o mʲ i f ʃ y sʲ
ознакомясь	ʌ z n a k o mʲ ʌ sʲ
ознаменовал	ʌ z n a mʲ e n ʌ v ʌ ɭ
ознаменована	ʌ z n a mʲ e n ʌ v ʌ n a
означает	ʌ z n a tʃʲ ɑ j i t
означали	ʌ z n a tʃʲ ɑ ɭʲ ɪ
означались	ʌ z n a tʃʲ ɑ ɭʲ i sʲ
означало	ʌ z n a tʃʲ ɑ ɭ ʌ
означающего	ʌ z n a tʃʲ ɑ ju ɕ i v ʌ
означенное	ʌ z n a tʃʲ e n n ʌ j ɪ
означены	ʌ z n ɑ tʃʲ i n y
означить	ʌ z n ɑ tʃʲ i tʲ
озноб	ʌ z n o p
озноба	ʌ z n o b a
ознобе	ʌ z n o bʲ i
озорник	ʌ z ʌ r nʲ i k
озорника	ʌ z ʌ r nʲ i k ɑ
озорникам	ʌ z ʌ r nʲ i k ɑ m
озорной	ʌ z ʌ r n o j
озяб	ʌ ʑ ɑ p
озябли	ʌ ʑ ɑ b ɭʲ ɪ
озябшего	ʌ ʑ ɑ p ʃ y v ʌ
озябшему	ʌ ʑ ɑ p ʃ y m u
озябшие	ʌ ʑ ɑ p ʃ y j ɪ
озябшими	ʌ ʑ ɑ p ʃ y mʲ ɪ
оио	ʌ i ʌ
ой	o j
ока	o k a
окажет	ʌ k ɑ ʒ y t
окажете	ʌ k ɑ ʒ y tʲ i
окажется	ʌ k ɑ ʒ y ts ʌ
окажите	ʌ k a ʒ y tʲ i
окажут	ʌ k ɑ ʒ u t
окажутся	ʌ k ɑ ʒ u tʲ sʲ ʌ
оказавшееся	ʌ k a z ɑ f ʃ y j i sʲ ʌ
оказавших	ʌ k a z ɑ f ʃ y x
оказал	ʌ k a z ɑ ɭ
оказалась	ʌ k a z ɑ ɭ ʌ sʲ
оказались	ʌ k a z ɑ ɭʲ i sʲ
оказало	ʌ k a z ɑ ɭ ʌ
оказалось	ʌ k a z ɑ ɭ ʌ sʲ
оказался	ʌ k a z ɑ ɭ sʲ ʌ
оказана	ʌ k ɑ z ʌ n a
оказать	ʌ k a z ɑ tʲ
оказаться	ʌ k a z ɑ tʲ sʲ ʌ
оказывает	ʌ k ɑ z y v ʌ j i t
оказывается	ʌ k ɑ z y v ʌ j i ts ʌ
оказывал	ʌ k ɑ z y v ʌ ɭ
оказывалась	ʌ k ɑ z y v ʌ ɭ ʌ sʲ
оказывали	ʌ k ɑ z y v ʌ ɭʲ ɪ
оказывалось	ʌ k ɑ z y v ʌ ɭ ʌ sʲ
оказывать	ʌ k ɑ z y v ʌ tʲ
оказываюсь	ʌ k ɑ z y v ʌ ju sʲ
оказывают	ʌ k ɑ z y v ʌ ju t
оказываются	ʌ k ɑ z y v ʌ ju ts ʌ
окаймлена	ʌ k ʌ j m ɭʲ i n ɑ
окаймляющие	ʌ k a j m ɭʲ ɑ ju ɕ i j ɪ
окаменел	ʌ k ʌ mʲ i nʲ e ɭ
окаменела	ʌ k ʌ mʲ i nʲ e ɭ a
окаменели	ʌ k ʌ mʲ i nʲ e ɭʲ ɪ
окаменело	ʌ k ʌ mʲ i nʲ e ɭ ʌ
окаменелое	ʌ k ʌ mʲ i nʲ e ɭ ʌ j ɪ
окаменелую	ʌ k a mʲ e nʲ i ɭ u ju
окаменелый	ʌ k ʌ mʲ i nʲ e ɭ y j
окаменелым	ʌ k ʌ mʲ i nʲ e ɭ y m
окаменеть	ʌ k ʌ mʲ i nʲ e tʲ
оканчивает	ʌ k ɑ n tʃʲ i v ʌ j i t
оканчивал	ʌ k ɑ n tʃʲ i v ʌ ɭ
оканчивала	ʌ k a n tʃʲ i v ʌ ɭ a
оканчивалась	ʌ k ɑ n tʃʲ i v ʌ ɭ ʌ sʲ
оканчивалось	ʌ k a n tʃʲ i v ʌ ɭ ʌ sʲ
оканчивался	ʌ k ɑ n tʃʲ i v ʌ ɭ sʲ ʌ
оканчивать	ʌ k ɑ n tʃʲ i v ʌ tʲ
окапываться	ʌ k ɑ p y v ʌ tʲ sʲ ʌ
окапываясь	ʌ k a p y v ʌ ja sʲ
окачивали	ʌ k a tʃʲ i v ʌ ɭʲ ɪ
окаянное	ʌ k a ja n n ʌ j ɪ
окаянной	ʌ k a ja n n ʌ j
окаянный	ʌ k a ja n n y j
океан	ʌ kʲ i ɑ n
океана	ʌ kʲ i ɑ n a
океане	ʌ kʲ i ɑ nʲ i
океаном	ʌ kʲ i ɑ n ʌ m
океану	ʌ kʲ i ɑ n u
океаны	ʌ kʲ i ɑ n y
оки	ʌ kʲ i
окинет	ʌ kʲ i nʲ i t
окинешь	ʌ kʲ i nʲ i ʃ
окинув	ʌ kʲ i n u f
окинул	ʌ kʲ i n u ɭ
окинула	ʌ kʲ i n u ɭ a
окинуть	ʌ kʲ i n u tʲ
окисляется	ʌ kʲ i s ɭʲ ɑ j i ts ʌ
оккупация	ʌ k k u p ɑ ts y ja
оклад	ʌ k ɭ ɑ t
оклада	ʌ k ɭ ɑ d a
окладам	ʌ k ɭ ɑ d ʌ m
окладах	ʌ k ɭ ɑ d ʌ x
окладном	ʌ k ɭ ɑ d n ʌ m
окладом	ʌ k ɭ ɑ d ʌ m
оклады	ʌ k ɭ ɑ d y
оклеветанные	ʌ k ɭʲ i vʲ e t ʌ n n y j ɪ
оклеена	ʌ k ɭʲ e j i n a
оклеенной	ʌ k ɭʲ e j i n n ʌ j
оклеенных	ʌ k ɭʲ e j i n n y x
оклеить	ʌ k ɭʲ e i tʲ
окликал	ʌ k ɭʲ i k ɑ ɭ
окликались	ʌ k ɭʲ i k ɑ ɭʲ i sʲ
окликнул	ʌ k ɭʲ i k n u ɭ
окликнула	ʌ k ɭʲ i k n u ɭ a
окликнуть	ʌ k ɭʲ i k n u tʲ
окна	o k n a
окнам	o k n ʌ m
окнами	o k n ʌ mʲ ɪ
окнах	o k n ʌ x
окне	ʌ k nʲ e
окно	ʌ k n o
окном	ʌ k n o m
окну	ʌ k n u
окны	o k n y
око	o k ʌ
оков	ʌ k o f
окован	ʌ k o v ʌ n
окованное	ʌ k o v ʌ n n ʌ j ɪ
окованный	ʌ k o v ʌ n n y j
оковах	ʌ k o v ʌ x
оковы	ʌ k o v y
околачиваемся	ʌ k ʌ ɭ ɑ tʃʲ i v ʌ j i m sʲ ʌ
околдовал	ʌ k ʌ ɭ d ʌ v ɑ ɭ
околдовала	ʌ k ʌ ɭ d ʌ v ɑ ɭ a
околевал	ʌ k ʌ ɭʲ e v ʌ ɭ
околеет	ʌ k ʌ ɭʲ e j i t
околеешь	ʌ k ʌ ɭʲ e j i ʃ
околел	ʌ k ʌ ɭʲ e ɭ
околесица	ʌ k ʌ ɭʲ e sʲ i ts a
околесицы	ʌ k ʌ ɭʲ e sʲ i ts y
околеть	ʌ k ʌ ɭʲ e tʲ
околицей	ʌ k o ɭʲ i ts y j
околицу	ʌ k o ɭʲ i ts u
околицы	ʌ k o ɭʲ i ts y
околичностей	ʌ k ʌ ɭʲ i tʃʲ n ʌ sʲ tʲ i j
около	o k ʌ ɭ ʌ
околотке	ʌ k ʌ ɭ o t kʲ i
околотку	ʌ k o ɭ ʌ t k u
околоточного	ʌ k ʌ ɭ o t ʌ tʃʲ n ʌ v ʌ
околоточный	ʌ k ʌ ɭ o t ʌ tʃʲ n y j
околышамидва	ʌ k ʌ ɭ y ʃ ʌ mʲ i d v a
окольными	ʌ k o ɭ n y mʲ ɪ
оком	o k ʌ m
окон	o k ʌ n
оконных	ʌ k o n n y x
оконца	ʌ k o n ts a
оконцах	ʌ k o n ts ʌ x
окончанием	ʌ k ʌ n tʃʲ ɑ nʲ i j i m
окончании	ʌ k ʌ n tʃʲ ɑ nʲ i ɪ
окончанию	ʌ k ʌ n tʃʲ ɑ nʲ i ju
окончания	ʌ k ʌ n tʃʲ ɑ nʲ i ja
окончательно	ʌ k ʌ n tʃʲ ɑ tʲ i ɭ n ʌ
окончательного	ʌ k ʌ n tʃʲ ɑ tʲ i ɭ n ʌ v ʌ
окончательное	ʌ k ʌ n tʃʲ ɑ tʲ i ɭ n ʌ j ɪ
окончательной	ʌ k ʌ n tʃʲ ɑ tʲ i ɭ n ʌ j
